Round,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
Regular season,7.0,Sat,2019-10-05,15:30,Freiburg,0.3,2–2,0.8,Dortmund,24000.0,Schwarzwald-Stadion,Sven Jablonski,Match Report,,20,D1
Regular season,7.0,Sat,2019-10-05,15:30,Bayern Munich,2.1,1–2,0.8,Hoffenheim,75000.0,Allianz Arena,Tobias Stieler,Match Report,,20,D1
Regular season,7.0,Sat,2019-10-05,15:30,Leverkusen,1.8,1–1,2.7,RB Leipzig,26355.0,BayArena,Marco Fritz,Match Report,,20,D1
Regular season,7.0,Sat,2019-10-05,18:30,Schalke 04,1.6,1–1,0.9,Köln,61883.0,Veltins-Arena,Tobias Welz,Match Report,,20,D1
Regular season,7.0,Sun,2019-10-06,13:30,M'Gladbach,3.0,5–1,1.4,Augsburg,50352.0,Stadion im Borussia-Park,Robert Schröder,Match Report,,20,D1
Regular season,7.0,Sun,2019-10-06,15:30,Wolfsburg,1.8,1–0,0.7,Union Berlin,27012.0,Volkswagen Arena,Bastian Dankert,Match Report,,20,D1
Regular season,7.0,Sun,2019-10-06,18:00,Eint Frankfurt,2.9,2–2,1.8,Werder Bremen,51500.0,Deutsche Bank Park,Guido Winkmann,Match Report,,20,D1
,,,,,,,,,,,,,,,20,D1
Regular season,8.0,Fri,2019-10-18,20:30,Eint Frankfurt,2.7,3–0,1.7,Leverkusen,50800.0,Deutsche Bank Park,Christian Dingert,Match Report,,20,D1
Regular season,8.0,Sat,2019-10-19,15:30,Werder Bremen,0.9,1–1,0.5,Hertha BSC,41447.0,Weserstadion,Felix Brych,Match Report,,20,D1
Regular season,8.0,Sat,2019-10-19,15:30,RB Leipzig,1.2,1–1,1.3,Wolfsburg,39182.0,Red Bull Arena,Deniz Aytekin,Match Report,,20,D1
Regular season,8.0,Sat,2019-10-19,15:30,Augsburg,2.3,2–2,3.1,Bayern Munich,30660.0,WWK Arena,Daniel Siebert,Match Report,,20,D1
Regular season,8.0,Sat,2019-10-19,15:30,Düsseldorf,1.6,1–0,0.3,Mainz 05,40660.0,Merkur Spielarena,Felix Zwayer,Match Report,,20,D1
Regular season,8.0,Sat,2019-10-19,15:30,Union Berlin,1.5,2–0,0.7,Freiburg,22012.0,Stadion An der Alten Försterei,Benjamin Cortus,Match Report,,20,D1
