Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
7.0,Sat,2019-09-21,20:45,Vitesse,2.0,4–2,0.7,Fortuna Sittard,20800.0,GelreDome,Joey Kooij,Match Report,,20,N1
7.0,Sun,2019-09-22,12:15,Heerenveen,2.3,1–1,0.9,Utrecht,16593.0,Abe Lenstra Stadion,Siemen Mulder,Match Report,,20,N1
7.0,Sun,2019-09-22,14:30,Emmen,1.2,3–3,2.6,Feyenoord,8309.0,De Oude Meerdijk,Dennis Higler,Match Report,,20,N1
7.0,Sun,2019-09-22,16:45,ADO Den Haag,0.3,0–1,2.2,AZ Alkmaar,12091.0,Cars Jeans Stadion,Allard Lindhout,Match Report,,20,N1
7.0,Sun,2019-09-22,16:45,PSV Eindhoven,1.5,1–1,1.7,Ajax,35000.0,Philips Stadion,Danny Makkelie,Match Report,,20,N1
,,,,,,,,,,,,,,20,N1
4.0,Wed,2019-09-25,18:30,PSV Eindhoven,1.0,3–1,0.3,Groningen,32800.0,Philips Stadion,Bas Nijhuis,Match Report,,20,N1
4.0,Wed,2019-09-25,20:45,Ajax,4.3,5–0,0.2,Fortuna Sittard,53121.0,Johan Cruyff ArenA,Jeroen Manschot,Match Report,,20,N1
4.0,Thu,2019-09-26,20:00,Feyenoord,0.8,0–3,1.7,AZ Alkmaar,35000.0,Stadion Feijenoord,Jochem Kamphuis,Match Report,,20,N1
,,,,,,,,,,,,,,20,N1
8.0,Fri,2019-09-27,20:00,Emmen,1.7,3–0,2.3,ADO Den Haag,8002.0,De Oude Meerdijk,Erwin Blank,Match Report,,20,N1
8.0,Sat,2019-09-28,18:30,VVV-Venlo,2.0,0–3,0.9,Heerenveen,5944.0,Seacon Stadion De Koel,Serdar Gözübüyük,Match Report,,20,N1
8.0,Sat,2019-09-28,19:45,Ajax,3.5,2–0,0.4,Groningen,53228.0,Johan Cruyff ArenA,Björn Kuipers,Match Report,,20,N1
8.0,Sat,2019-09-28,20:45,Fortuna Sittard,0.7,0–0,1.1,Sparta R'dam,7483.0,Fortuna Sittard Stadion,Richard Martens,Match Report,,20,N1
8.0,Sun,2019-09-29,12:15,RKC Waalwijk,1.6,1–2,2.0,Vitesse,4858.0,Mandemakers Stadion,Bas Nijhuis,Match Report,,20,N1
8.0,Sun,2019-09-29,14:30,Zwolle,0.8,0–4,2.7,PSV Eindhoven,13482.0,MAC³PARK Stadion,Dennis Higler,Match Report,,20,N1
8.0,Sun,2019-09-29,14:30,Utrecht,1.1,2–0,1.2,Willem II,19419.0,Stadion Galgenwaard,Edwin van de Graaf,Match Report,,20,N1
8.0,Sun,2019-09-29,16:45,Feyenoord,2.9,5–1,0.8,Twente,32500.0,Stadion Feijenoord,Danny Makkelie,Match Report,,20,N1
8.0,Sun,2019-09-29,16:45,AZ Alkmaar,3.2,2–0,0.7,Heracles Almelo,7241.0,AFAS Stadion,Pol van Boekel,Match Report,,20,N1
,,,,,,,,,,,,,,20,N1
9.0,Fri,2019-10-04,20:00,Groningen,1.5,3–0,0.9,RKC Waalwijk,16029.0,Hitachi Capital Mobility Stadion,Joey Kooij,Match Report,,20,N1
9.0,Sat,2019-10-05,18:30,Heracles Almelo,1.9,2–0,1.0,Emmen,10376.0,Erve Asito,Sander Van der Eijk,Match Report,,20,N1
9.0,Sat,2019-10-05,19:45,Vitesse,1.3,2–1,1.6,Utrecht,12704.0,GelreDome,Björn Kuipers,Match Report,,20,N1
9.0,Sat,2019-10-05,19:45,Sparta R'dam,1.3,2–1,2.4,Twente,10435.0,Sparta-Stadion Het Kasteel,Jeroen Manschot,Match Report,,20,N1
9.0,Sat,2019-10-05,20:45,Heerenveen,1.3,1–0,0.5,Zwolle,16632.0,Abe Lenstra Stadion,Danny Makkelie,Match Report,,20,N1
9.0,Sun,2019-10-06,12:15,ADO Den Haag,0.9,0–2,2.8,Ajax,14733.0,Cars Jeans Stadion,Kevin Blom,Match Report,,20,N1
9.0,Sun,2019-10-06,14:30,Fortuna Sittard,1.6,4–2,2.4,Feyenoord,8511.0,Fortuna Sittard Stadion,Pol van Boekel,Match Report,,20,N1
9.0,Sun,2019-10-06,16:45,Willem II,2.3,1–1,2.8,AZ Alkmaar,12707.0,Koning Willem II Stadion,Dennis Higler,Match Report,,20,N1
9.0,Sun,2019-10-06,16:45,PSV Eindhoven,2.1,4–1,0.5,VVV-Venlo,33000.0,Philips Stadion,Allard Lindhout,Match Report,,20,N1
,,,,,,,,,,,,,,20,N1
10.0,Sat,2019-10-19,18:30,RKC Waalwijk,1.7,1–2,1.9,Ajax,7508.0,Mandemakers Stadion,Allard Lindhout,Match Report,,20,N1
10.0,Sat,2019-10-19,18:30,AZ Alkmaar,2.2,2–4,0.8,Heerenveen,7648.0,AFAS Stadion,Björn Kuipers,Match Report,,20,N1
10.0,Sat,2019-10-19,19:45,Twente,0.6,0–1,2.3,Willem II,27500.0,De Grolsch Veste,Martin van den Kerkhof,Match Report,,20,N1
10.0,Sat,2019-10-19,20:45,Utrecht,1.2,3–0,0.4,PSV Eindhoven,22632.0,Stadion Galgenwaard,Danny Makkelie,Match Report,,20,N1
10.0,Sat,2019-10-19,20:45,VVV-Venlo,1.2,0–4,1.3,Vitesse,5992.0,Seacon Stadion De Koel,Siemen Mulder,Match Report,,20,N1
10.0,Sun,2019-10-20,12:15,Zwolle,2.7,3–1,1.7,ADO Den Haag,12943.0,MAC³PARK Stadion,Serdar Gözübüyük,Match Report,,20,N1
10.0,Sun,2019-10-20,14:30,Emmen,1.1,2–1,1.4,Fortuna Sittard,8130.0,De Oude Meerdijk,Bas Nijhuis,Match Report,,20,N1
10.0,Sun,2019-10-20,14:30,Groningen,1.6,2–0,1.7,Sparta R'dam,17582.0,Hitachi Capital Mobility Stadion,Kevin Blom,Match Report,,20,N1
10.0,Sun,2019-10-20,16:45,Feyenoord,2.4,1–1,0.5,Heracles Almelo,37000.0,Stadion Feijenoord,Jeroen Manschot,Match Report,,20,N1
,,,,,,,,,,,,,,20,N1
11.0,Fri,2019-10-25,20:00,Twente,3.6,4–1,0.8,Emmen,27400.0,De Grolsch Veste,Christiaan Bax,Match Report,,20,N1
11.0,Sat,2019-10-26,18:30,Willem II,1.7,2–1,0.9,RKC Waalwijk,13877.0,Koning Willem II Stadion,Kevin Blom,Match Report,,20,N1
