Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
Regular season,6.0,Tue,2019-09-17,21:00,Alcorcón,3–0,Cádiz,2555.0,Estadio Santo Domingo,Gorka Sagues,Match Report,,20,SP2
Regular season,6.0,Wed,2019-09-18,19:00,Lugo,2–2,Ponferradina,3702.0,Estadio Anxo Carro,Miguel Ángel Ortiz Arias,Match Report,,20,SP2
Regular season,6.0,Wed,2019-09-18,19:00,Huesca,0–1,Albacete,6348.0,Estadio El Alcoraz,Rubén Ávalos,Match Report,,20,SP2
Regular season,6.0,Wed,2019-09-18,21:00,La Coruña,3–3,Numancia,13856.0,Estadio Municipal de Riazor,Santiago Varón,Match Report,,20,SP2
Regular season,6.0,Thu,2019-09-19,19:00,Elche,1–1,Tenerife,8138.0,Estadio Manuel Martínez Valero,Javier Villanueva,Match Report,,20,SP2
Regular season,6.0,Thu,2019-09-19,19:00,Oviedo,1–1,Extremadura,10413.0,Estadio Nuevo Carlos Tartiere,Iosu Galech,Match Report,,20,SP2
Regular season,6.0,Thu,2019-09-19,21:00,Las Palmas,1–0,Sporting Gijón,7726.0,Estadio de Gran Canaria,Oliver De La Fuente,Match Report,,20,SP2
,,,,,,,,,,,,,20,SP2
Regular season,7.0,Fri,2019-09-20,21:00,CD Mirandés,2–2,Alcorcón,2620.0,Estadio Municipal de Anduva,José López,Match Report,,20,SP2
Regular season,7.0,Sat,2019-09-21,16:00,Cádiz,0–0,La Coruña,16027.0,Estadio Ramón de Carranza,Dámaso Arcediano,Match Report,,20,SP2
Regular season,7.0,Sat,2019-09-21,18:00,Zaragoza,0–0,Lugo,24594.0,Estadio de la Romareda,Víctor Areces,Match Report,,20,SP2
Regular season,7.0,Sat,2019-09-21,20:00,Rayo Vallecano,1–1,Almería,9098.0,Estadio del Rayo Vallecano,Daniel Ocón,Match Report,,20,SP2
Regular season,7.0,Sat,2019-09-21,20:30,Albacete,1–0,Málaga,8190.0,Estadio Carlos Belmonte,Daniel Trujillo,Match Report,,20,SP2
Regular season,7.0,Sun,2019-09-22,12:00,Ponferradina,2–1,Oviedo,6517.0,Estadio El Toralín,Rubén Ávalos,Match Report,,20,SP2
Regular season,7.0,Sun,2019-09-22,16:00,Girona,1–0,Las Palmas,8332.0,Estadi Municipal de Montilivi,Alejandro Muñíz,Match Report,,20,SP2
Regular season,7.0,Sun,2019-09-22,18:00,Numancia,1–1,Elche,3058.0,Nuevo Estadio Los Pajaritos,Álvaro Moreno,Match Report,,20,SP2
Regular season,7.0,Sun,2019-09-22,18:00,Sporting Gijón,1–1,Racing Sant,22254.0,Estadio Municipal El Molinón,Aitor Gorostegui,Match Report,,20,SP2
