Round,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
Regular season,6.0,Sat,2021-09-11,15:00,West Brom,2.0,1–1,1.1,Millwall,23142.0,The Hawthorns,Andy Woolmer,Match Report,,22,E2
Regular season,6.0,Sat,2021-09-11,15:00,Blackburn,1.1,2–2,1.3,Luton Town,11241.0,Ewood Park,Oliver Langford,Match Report,,22,E2
Regular season,6.0,Sat,2021-09-11,15:00,Stoke City,0.8,2–1,1.3,Huddersfield,20447.0,Bet365 Stadium,Joshua Smith,Match Report,,22,E2
Regular season,6.0,Sun,2021-09-12,14:30,Nott'ham Forest,1.0,1–2,1.6,Cardiff City,24153.0,The City Ground,Dean Whitestone,Match Report,,22,E2
,,,,,,,,,,,,,,,22,E2
Regular season,7.0,Tue,2021-09-14,19:45,Blackpool,1.0,0–3,0.8,Huddersfield,11277.0,Bloomfield Road,Thomas Bramall,Match Report,,22,E2
Regular season,7.0,Tue,2021-09-14,19:45,Blackburn,1.6,2–0,0.9,Hull City,9140.0,Ewood Park,John Brooks,Match Report,,22,E2
Regular season,7.0,Tue,2021-09-14,19:45,Bournemouth,1.5,2–1,1.3,QPR,10495.0,Vitality Stadium,Keith Stroud,Match Report,,22,E2
Regular season,7.0,Tue,2021-09-14,19:45,Sheffield Utd,1.8,2–2,1.5,Preston,25463.0,Bramall Lane,Geoff Eltringham,Match Report,,22,E2
Regular season,7.0,Tue,2021-09-14,20:00,Reading,0.6,3–1,0.6,P'borough Utd,11411.0,Select Car Leasing Stadium,Tim Robinson,Match Report,,22,E2
Regular season,7.0,Tue,2021-09-14,20:00,West Brom,2.4,0–0,0.1,Derby County,21636.0,The Hawthorns,Kevin Friend,Match Report,,22,E2
Regular season,7.0,Wed,2021-09-15,19:45,Bristol City,0.9,1–1,2.8,Luton Town,16878.0,Ashton Gate Stadium,Jeremy Simpson,Match Report,,22,E2
Regular season,7.0,Wed,2021-09-15,19:45,Birmingham City,1.8,1–4,2.9,Fulham,14562.0,St Andrew's Trillion Trophy Stadium,David Webb,Match Report,,22,E2
Regular season,7.0,Wed,2021-09-15,19:45,Coventry City,0.9,1–0,0.8,Cardiff City,16372.0,Coventry Building Society Arena,Michael Salisbury,Match Report,,22,E2
Regular season,7.0,Wed,2021-09-15,19:45,Swansea City,1.3,0–0,1.0,Millwall,16007.0,Swansea.com Stadium,John Busby,Match Report,,22,E2
Regular season,7.0,Wed,2021-09-15,19:45,Nott'ham Forest,0.9,0–2,2.0,Middlesbrough,23830.0,The City Ground,Andy Woolmer,Match Report,,22,E2
Regular season,7.0,Wed,2021-09-15,19:45,Stoke City,2.4,1–1,0.8,Barnsley,17832.0,Bet365 Stadium,Leigh Doughty,Match Report,,22,E2
,,,,,,,,,,,,,,,22,E2
Regular season,8.0,Sat,2021-09-18,12:30,Hull City,1.5,1–3,2.3,Sheffield Utd,14451.0,MKM Stadium,Dean Whitestone,Match Report,,22,E2
Regular season,8.0,Sat,2021-09-18,15:00,P'borough Utd,1.3,3–0,1.7,Birmingham City,12199.0,Weston Homes Stadium,Jarred Gillett,Match Report,,22,E2
Regular season,8.0,Sat,2021-09-18,15:00,Luton Town,3.4,3–3,1.3,Swansea City,9721.0,Kenilworth Road Stadium,Tony Harrington,Match Report,,22,E2
Regular season,8.0,Sat,2021-09-18,15:00,Derby County,2.1,2–1,1.2,Stoke City,20545.0,iPro Stadium,Jeremy Simpson,Match Report,,22,E2
Regular season,8.0,Sat,2021-09-18,15:00,Preston,0.7,1–1,0.9,West Brom,13850.0,Deepdale Stadium,Andrew Davies,Match Report,,22,E2
Regular season,8.0,Sat,2021-09-18,15:00,Cardiff City,0.6,0–1,1.2,Bournemouth,19090.0,Cardiff City Stadium,Joshua Smith,Match Report,,22,E2
Regular season,8.0,Sat,2021-09-18,15:00,QPR,2.4,1–2,1.0,Bristol City,14922.0,Kiyan Prince Foundation Stadium,Leigh Doughty,Match Report,,22,E2
Regular season,8.0,Sat,2021-09-18,15:00,Barnsley,1.3,0–0,0.4,Blackburn,13640.0,Oakwell Stadium,Andy Woolmer,Match Report,,22,E2
Regular season,8.0,Sat,2021-09-18,15:00,Middlesbrough,1.2,1–2,1.5,Blackpool,21022.0,Riverside Stadium,David Webb,Match Report,,22,E2
Regular season,8.0,Sat,2021-09-18,15:00,Fulham,3.0,1–2,1.3,Reading,18901.0,Craven Cottage,Steve Martin,Match Report,,22,E2
Regular season,8.0,Sat,2021-09-18,15:00,Millwall,1.1,1–1,2.0,Coventry City,12516.0,The Den,Keith Stroud,Match Report,,22,E2
Regular season,8.0,Sat,2021-09-18,15:00,Huddersfield,0.8,0–2,0.6,Nott'ham Forest,17462.0,The John Smith's Stadium,Chris Kavanagh,Match Report,,22,E2
,,,,,,,,,,,,,,,22,E2
Regular season,9.0,Fri,2021-09-24,19:45,Coventry City,2.7,3–0,0.4,P'borough Utd,20652.0,Coventry Building Society Arena,Geoff Eltringham,Match Report,,22,E2
