Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
Regular season,9.0,Fri,2018-09-28,20:00,Clermont Foot,1–1,Gazélec Ajaccio,2493.0,Stade Gabriel Montpied,Yohann Rouinsard,Match Report,,19,F2
Regular season,9.0,Fri,2018-09-28,20:00,Nancy,0–0,Sochaux,10679.0,Stade Marcel Picot,Arnaud Baert,Match Report,,19,F2
Regular season,9.0,Fri,2018-09-28,20:00,Red Star,2–3,Grenoble,1773.0,Stade de Paris,Alexandre Perreau Niel,Match Report,,19,F2
Regular season,9.0,Fri,2018-09-28,20:00,Béziers,1–1,Niort,2439.0,Stade de Sauclières,Romain Lissorgue,Match Report,,19,F2
Regular season,9.0,Fri,2018-09-28,20:00,Lens,0–0,Paris FC,26027.0,Stade Bollaert-Delelis,Pignard Jérémie,Match Report,,19,F2
Regular season,9.0,Fri,2018-09-28,20:00,Ajaccio,3–1,Valenciennes,2368.0,Stade François Coty,Jeremy Stinat,Match Report,,19,F2
Regular season,9.0,Sat,2018-09-29,15:00,Metz,0–1,Le Havre,12012.0,Stade Saint-Symphorien,Bartolomeu Varela,Match Report,,19,F2
Regular season,9.0,Mon,2018-10-01,20:45,Troyes,1–0,Auxerre,6673.0,Stade de l'Aube,Faouzi Benchabane,Match Report,,19,F2
,,,,,,,,,,,,,19,F2
Regular season,5.0,Tue,2018-10-02,19:00,Béziers,0–0,Lens,5556.0,Stade de la Méditerranée,Alexandre Perreau Niel,Match Report,,19,F2
,,,,,,,,,,,,,19,F2
Regular season,10.0,Fri,2018-10-05,20:00,Valenciennes,1–3,Brest,7557.0,Stade du Hainaut,Benjamin Lepaysant,Match Report,,19,F2
Regular season,10.0,Fri,2018-10-05,20:00,Red Star,2–0,Ajaccio,1863.0,Stade Pierre Brisson,Bartolomeu Varela,Match Report,,19,F2
Regular season,10.0,Fri,2018-10-05,20:00,Grenoble,1–0,Clermont Foot,6389.0,Stade des Alpes,Mehdi Mokhtari,Match Report,,19,F2
Regular season,10.0,Fri,2018-10-05,20:00,Niort,1–0,Paris FC,3397.0,Stade René Gaillard,Arnaud Baert,Match Report,,19,F2
Regular season,10.0,Fri,2018-10-05,20:00,Châteauroux,0–3,Troyes,6861.0,Stade Gaston Petit,William Lavis,Match Report,,19,F2
Regular season,10.0,Fri,2018-10-05,20:00,Le Havre,2–3,Béziers,5297.0,Stade Océane,Bastien Dechepy,Match Report,,19,F2
Regular season,10.0,Fri,2018-10-05,20:00,Gazélec Ajaccio,0–2,Orléans,2498.0,Stade François Coty,Faouzi Benchabane,Match Report,,19,F2
Regular season,10.0,Fri,2018-10-05,20:00,Lorient,4–1,Nancy,6952.0,Stade Yves Allainmat - Le Moustoir,Aurélien Petit,Match Report,,19,F2
Regular season,10.0,Sat,2018-10-06,15:00,Auxerre,1–2,Lens,10404.0,Stade de l'Abbé Deschamps,Pierre Gaillouste,Match Report,,19,F2
Regular season,10.0,Mon,2018-10-08,20:45,Sochaux,1–2,Metz,6865.0,Stade Auguste-Bonal,Willy Delajod,Match Report,,19,F2
,,,,,,,,,,,,,19,F2
Regular season,11.0,Fri,2018-10-19,20:00,Troyes,1–2,Sochaux,10024.0,Stade de l'Aube,Bartolomeu Varela,Match Report,,19,F2
Regular season,11.0,Fri,2018-10-19,20:00,Metz,3–0,Niort,10280.0,Stade Saint-Symphorien,Pignard Jérémie,Match Report,,19,F2
Regular season,11.0,Fri,2018-10-19,20:00,Paris FC,0–0,Châteauroux,2945.0,Stade Sébastien Charléty,Mehdi Mokhtari,Match Report,,19,F2
Regular season,11.0,Fri,2018-10-19,20:00,Clermont Foot,0–0,Red Star,2856.0,Stade Gabriel Montpied,Sylvain Palhies,Match Report,,19,F2
Regular season,11.0,Fri,2018-10-19,20:00,Ajaccio,3–2,Le Havre,2951.0,Stade François Coty,Antony Gautier,Match Report,,19,F2
Regular season,11.0,Fri,2018-10-19,20:00,Auxerre,2–0,Béziers,3847.0,Stade de l'Abbé Deschamps,Yohann Rouinsard,Match Report,,19,F2
Regular season,11.0,Fri,2018-10-19,20:00,Nancy,1–2,Grenoble,9783.0,Stade Marcel Picot,William Lavis,Match Report,,19,F2
