Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
14.0,Fri,2019-11-08,20:00,Le Mans,0–0,Grenoble,5587.0,MMArena,Benjamin Lepaysant,Match Report,,20,F2
14.0,Fri,2019-11-08,20:00,Valenciennes,0–1,Châteauroux,7884.0,Stade du Hainaut,Pierre Gaillouste,Match Report,,20,F2
14.0,Fri,2019-11-08,20:00,Chambly Oise,0–1,Clermont Foot,668.0,Stade des Marais,Alexandre Perreau Niel,Match Report,,20,F2
14.0,Fri,2019-11-08,20:00,Lorient,4–1,Niort,7049.0,Stade Yves Allainmat - Le Moustoir,Mehdi Mokhtari,Match Report,,20,F2
14.0,Fri,2019-11-08,20:00,Nancy,0–0,Troyes,10290.0,Stade Marcel Picot,Remi Landry,Match Report,,20,F2
14.0,Fri,2019-11-08,20:00,Auxerre,1–1,Caen,4567.0,Stade de l'Abbé Deschamps,Cédric Dos Santos,Match Report,,20,F2
14.0,Sat,2019-11-09,14:45,Guingamp,1–1,Ajaccio,8286.0,Stade du Roudourou,Karim Abed,Match Report,,20,F2
14.0,Mon,2019-11-11,20:45,Rodez Aveyron,1–2,Lens,5348.0,Stade Paul Lignon,Aurélien Petit,Match Report,,20,F2
,,,,,,,,,,,,20,F2
15.0,Fri,2019-11-22,20:00,Niort,2–1,Rodez Aveyron,2683.0,Stade René Gaillard,Romain Lissorgue,Match Report,,20,F2
15.0,Fri,2019-11-22,20:00,Ajaccio,1–1,Clermont Foot,3016.0,Stade François Coty,Olivier Thual,Match Report,,20,F2
15.0,Fri,2019-11-22,20:00,Paris FC,2–0,Auxerre,3040.0,Stade Sébastien Charléty,Mehdi Mokhtari,Match Report,,20,F2
15.0,Fri,2019-11-22,20:00,Troyes,0–4,Chambly Oise,5198.0,Stade de l'Aube,Gaël Angoula,Match Report,,20,F2
15.0,Fri,2019-11-22,20:00,Grenoble,1–1,Nancy,5083.0,Stade des Alpes,Pierre Gaillouste,Match Report,,20,F2
15.0,Fri,2019-11-22,20:00,Orléans,0–1,Valenciennes,3810.0,Stade de la Source,Bartolomeu Varela,Match Report,,20,F2
15.0,Fri,2019-11-22,20:00,Châteauroux,1–3,Lorient,2691.0,Stade Gaston Petit,Aurélien Petit,Match Report,,20,F2
15.0,Fri,2019-11-22,20:00,Caen,3–3,Le Mans,10664.0,Stade Michel d'Ornano,Bastien Dechepy,Match Report,,20,F2
15.0,Sat,2019-11-23,15:00,Lens,4–0,Sochaux,25206.0,Stade Bollaert-Delelis,Nicolas Rainville,Match Report,,20,F2
15.0,Mon,2019-11-25,20:45,Le Havre,4–0,Guingamp,6151.0,Stade Océane,Jérémie Pignard,Match Report,,20,F2
,,,,,,,,,,,,20,F2
16.0,Fri,2019-11-29,20:00,Guingamp,1–1,Caen,9224.0,Stade du Roudourou,Arnaud Baert,Match Report,,20,F2
16.0,Fri,2019-11-29,20:00,Rodez Aveyron,1–2,Le Havre,3498.0,Stade Paul Lignon,Alexandre Perreau Niel,Match Report,,20,F2
16.0,Fri,2019-11-29,20:00,Clermont Foot,1–0,Niort,2559.0,Stade Gabriel Montpied,Bartolomeu Varela,Match Report,,20,F2
16.0,Fri,2019-11-29,20:00,Le Mans,1–2,Châteauroux,8690.0,MMArena,Cédric Dos Santos,Match Report,,20,F2
16.0,Fri,2019-11-29,20:00,Auxerre,2–2,Orléans,6101.0,Stade de l'Abbé Deschamps,Remi Landry,Match Report,,20,F2
16.0,Fri,2019-11-29,20:00,Chambly Oise,0–2,Ajaccio,2141.0,Stade des Marais,Mehdi Mokhtari,Match Report,,20,F2
16.0,Fri,2019-11-29,20:00,Valenciennes,2–0,Lens,17415.0,Stade du Hainaut,Willy Delajod,Match Report,,20,F2
16.0,Fri,2019-11-29,20:00,Nancy,2–0,Paris FC,9078.0,Stade Marcel Picot,Benjamin Lepaysant,Match Report,,20,F2
16.0,Fri,2019-11-29,20:00,Lorient,2–1,Grenoble,6284.0,Stade Yves Allainmat - Le Moustoir,Thierry Bouille,Match Report,,20,F2
16.0,Sat,2019-11-30,14:30,Sochaux,0–1,Troyes,8196.0,Stade Auguste-Bonal,Olivier Thual,Match Report,,20,F2
,,,,,,,,,,,,20,F2
17.0,Mon,2019-12-02,20:45,Caen,1–0,Nancy,8798.0,Stade Michel d'Ornano,Johan Hamel,Match Report,,20,F2
17.0,Tue,2019-12-03,21:05,Le Havre,2–0,Le Mans,6054.0,Stade Océane,Arnaud Baert,Match Report,,20,F2
17.0,Tue,2019-12-03,21:05,Niort,0–1,Ajaccio,2568.0,Stade René Gaillard,Bastien Dechepy,Match Report,,20,F2
17.0,Tue,2019-12-03,21:05,Orléans,0–4,Lorient,3462.0,Stade de la Source,Romain Lissorgue,Match Report,,20,F2
17.0,Tue,2019-12-03,21:05,Troyes,1–0,Rodez Aveyron,5418.0,Stade de l'Aube,Bartolomeu Varela,Match Report,,20,F2
17.0,Tue,2019-12-03,21:05,Lens,3–0,Chambly Oise,29551.0,Stade Bollaert-Delelis,Pierre Gaillouste,Match Report,,20,F2
17.0,Tue,2019-12-03,21:05,Grenoble,1–1,Clermont Foot,4369.0,Stade des Alpes,Mehdi Mokhtari,Match Report,,20,F2
17.0,Tue,2019-12-03,21:05,Paris FC,0–3,Guingamp,2023.0,Stade Sébastien Charléty,Aurélien Petit,Match Report,,20,F2
17.0,Tue,2019-12-03,21:05,Auxerre,1–1,Valenciennes,4057.0,Stade de l'Abbé Deschamps,Jeremy Stinat,Match Report,,20,F2
17.0,Tue,2019-12-03,21:05,Châteauroux,1–1,Sochaux,2151.0,Stade Gaston Petit,Stéphanie Frappart,Match Report,,20,F2
,,,,,,,,,,,,20,F2
18.0,Fri,2019-12-13,20:00,Rodez Aveyron,2–1,Caen,2793.0,Stade Paul Lignon,Thierry Bouille,Match Report,,20,F2
18.0,Fri,2019-12-13,20:00,Nancy,2–1,Châteauroux,9019.0,Stade Marcel Picot,Remi Landry,Match Report,,20,F2
18.0,Fri,2019-12-13,20:00,Valenciennes,1–0,Paris FC,8141.0,Stade du Hainaut,Sylvain Palhies,Match Report,,20,F2
18.0,Fri,2019-12-13,20:00,Le Mans,3–2,Orléans,17918.0,MMArena,Mehdi Mokhtari,Match Report,,20,F2
18.0,Fri,2019-12-13,20:00,Clermont Foot,2–1,Le Havre,2270.0,Stade Gabriel Montpied,Gaël Angoula,Match Report,,20,F2
18.0,Fri,2019-12-13,20:00,Chambly Oise,3–2,Niort,668.0,Stade des Marais,Alexandre Perreau Niel,Match Report,,20,F2
18.0,Fri,2019-12-13,20:00,Sochaux,1–1,Grenoble,6080.0,Stade Auguste-Bonal,Cédric Dos Santos,Match Report,,20,F2
18.0,Fri,2019-12-13,20:00,Lorient,1–0,Auxerre,6844.0,Stade Yves Allainmat - Le Moustoir,Benjamin Lepaysant,Match Report,,20,F2
18.0,Sat,2019-12-14,16:00,Ajaccio,1–2,Lens,4536.0,Stade François Coty,Amaury Delerue,Match Report,,20,F2
18.0,Mon,2019-12-16,20:45,Guingamp,0–1,Troyes,8950.0,Stade du Roudourou,Nicolas Rainville,Match Report,,20,F2
,,,,,,,,,,,,20,F2
19.0,Fri,2019-12-20,20:00,Auxerre,0–0,Nancy,4282.0,Stade de l'Abbé Deschamps,Bartolomeu Varela,Match Report,,20,F2
19.0,Fri,2019-12-20,20:00,Grenoble,2–1,Rodez Aveyron,5579.0,Stade des Alpes,Romain Lissorgue,Match Report,,20,F2
19.0,Fri,2019-12-20,20:00,Orléans,1–0,Sochaux,3274.0,Stade de la Source,Arnaud Baert,Match Report,,20,F2
19.0,Fri,2019-12-20,20:00,Valenciennes,3–0,Lorient,5884.0,Stade du Hainaut,Bastien Dechepy,Match Report,,20,F2
19.0,Fri,2019-12-20,20:00,Le Havre,1–1,Chambly Oise,7156.0,Stade Océane,Sylvain Palhies,Match Report,,20,F2
19.0,Fri,2019-12-20,20:00,Châteauroux,1–5,Guingamp,5599.0,Stade Gaston Petit,Mehdi Mokhtari,Match Report,,20,F2
19.0,Fri,2019-12-20,20:00,Caen,0–0,Clermont Foot,9529.0,Stade Michel d'Ornano,Pierre Gaillouste,Match Report,,20,F2
