Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
Regular season,11.0,Fri,2018-10-19,20:30,Club Brugge,1–1,Waasland-Bev,21593.0,Jan Breydelstadion,Alexandre Boucaut,Match Report,,19,B1
Regular season,11.0,Sat,2018-10-20,18:00,Excel Mouscron,0–0,Standard Liège,8872.0,Stade Le Canonnier,Jonathan Lardot,Match Report,,19,B1
Regular season,11.0,Sat,2018-10-20,20:00,Antwerp,2–1,Lokeren,12134.0,Bosuilstadion,Jan Boterberg,Match Report,,19,B1
Regular season,11.0,Sat,2018-10-20,20:00,Kortrijk,3–1,Sint-Truiden,4814.0,Guldensporenstadion,Wesley Alen,Match Report,,19,B1
Regular season,11.0,Sat,2018-10-20,20:30,Genk,2–1,Eupen,15310.0,Luminus Arena,Wim Smet,Match Report,,19,B1
Regular season,11.0,Sun,2018-10-21,14:30,Anderlecht,4–2,Cercle Brugge,18717.0,Stade Constant Vanden Stock,Christof Dierick,Match Report,,19,B1
Regular season,11.0,Sun,2018-10-21,18:00,Oostende,0–4,Gent,5838.0,Versluys Arena,Nathan Verboomen,Match Report,,19,B1
Regular season,11.0,Sun,2018-10-21,20:00,Charleroi,3–2,Zulte Waregem,7280.0,Stade du Pays de Charleroi,Bram Van Driessche,Match Report,,19,B1
,,,,,,,,,,,,,19,B1
Regular season,12.0,Fri,2018-10-26,20:30,Gent,2–1,Charleroi,14585.0,GHELAMCO-arena,Wesley Alen,Match Report,,19,B1
Regular season,12.0,Sat,2018-10-27,18:00,Zulte Waregem,2–2,Excel Mouscron,7108.0,Regenboogstadion,Erik Lambrechts,Match Report,,19,B1
Regular season,12.0,Sat,2018-10-27,20:00,Cercle Brugge,1–1,Kortrijk,5453.0,Jan Breydelstadion,Jan Boterberg,Match Report,,19,B1
Regular season,12.0,Sat,2018-10-27,20:00,Lokeren,0–0,Oostende,3557.0,Daknamstadion,Bert Put,Match Report,,19,B1
Regular season,12.0,Sat,2018-10-27,20:30,Sint-Truiden,2–2,Club Brugge,10132.0,Stayen,Jonathan Lardot,Match Report,,19,B1
Regular season,12.0,Sun,2018-10-28,14:30,Standard Liège,1–1,Genk,21874.0,Stade Maurice Dufrasne,Bram Van Driessche,Match Report,,19,B1
Regular season,12.0,Sun,2018-10-28,18:00,Eupen,2–1,Anderlecht,5082.0,Stadion am Kehrweg,Alexandre Boucaut,Match Report,,19,B1
Regular season,12.0,Sun,2018-10-28,20:00,Waasland-Bev,0–1,Antwerp,5957.0,Freethiel-Stadion,Nathan Verboomen,Match Report,,19,B1
,,,,,,,,,,,,,19,B1
Regular season,13.0,Tue,2018-10-30,20:30,Charleroi,1–0,Sint-Truiden,7521.0,Stade du Pays de Charleroi,Christof Dierick,Match Report,,19,B1
Regular season,13.0,Tue,2018-10-30,20:30,Club Brugge,4–0,Oostende,18529.0,Jan Breydelstadion,Erik Lambrechts,Match Report,,19,B1
Regular season,13.0,Tue,2018-10-30,20:30,Excel Mouscron,3–1,Gent,3378.0,Stade Le Canonnier,Wim Smet,Match Report,,19,B1
Regular season,13.0,Wed,2018-10-31,20:30,Antwerp,2–4,Genk,15245.0,Bosuilstadion,Alexandre Boucaut,Match Report,,19,B1
Regular season,13.0,Wed,2018-10-31,20:30,Eupen,2–0,Cercle Brugge,2213.0,Stadion am Kehrweg,Jonathan Lardot,Match Report,,19,B1
Regular season,13.0,Wed,2018-10-31,20:30,Kortrijk,2–2,Waasland-Bev,4659.0,Guldensporenstadion,Bram Van Driessche,Match Report,,19,B1
Regular season,13.0,Thu,2018-11-01,14:30,Anderlecht,1–1,Lokeren,19311.0,Stade Constant Vanden Stock,Lawrence Visser,Match Report,,19,B1
Regular season,13.0,Thu,2018-11-01,18:00,Zulte Waregem,3–1,Standard Liège,8040.0,Regenboogstadion,Nicolas Laforge,Match Report,,19,B1
,,,,,,,,,,,,,19,B1
Regular season,14.0,Fri,2018-11-02,20:30,Oostende,2–1,Charleroi,4261.0,Versluys Arena,Kevin Van Damme,Match Report,,19,B1
Regular season,14.0,Sat,2018-11-03,18:00,Genk,1–1,Club Brugge,22971.0,Luminus Arena,Lawrence Visser,Match Report,,19,B1
Regular season,14.0,Sat,2018-11-03,20:00,Cercle Brugge,2–1,Excel Mouscron,4734.0,Jan Breydelstadion,Wesley Alen,Match Report,,19,B1
Regular season,14.0,Sat,2018-11-03,20:30,Gent,3–1,Kortrijk,14827.0,GHELAMCO-arena,Bert Put,Match Report,,19,B1
Regular season,14.0,Sun,2018-11-04,14:30,Standard Liège,0–2,Antwerp,20082.0,Stade Maurice Dufrasne,Erik Lambrechts,Match Report,,19,B1
Regular season,14.0,Sun,2018-11-04,18:00,Waasland-Bev,1–2,Anderlecht,4984.0,Freethiel-Stadion,Nicolas Laforge,Match Report,,19,B1
Regular season,14.0,Sun,2018-11-04,20:00,Lokeren,2–0,Eupen,3185.0,Daknamstadion,Nathan Verboomen,Match Report,,19,B1
Regular season,14.0,Sun,2018-11-04,20:00,Sint-Truiden,2–1,Zulte Waregem,5377.0,Stayen,Jan Boterberg,Match Report,,19,B1
,,,,,,,,,,,,,19,B1
Regular season,15.0,Fri,2018-11-09,20:30,Antwerp,2–0,Oostende,13500.0,Bosuilstadion,Bram Van Driessche,Match Report,,19,B1
Regular season,15.0,Sat,2018-11-10,18:00,Charleroi,2–1,Club Brugge,10066.0,Stade du Pays de Charleroi,Nicolas Laforge,Match Report,,19,B1
Regular season,15.0,Sat,2018-11-10,20:00,Zulte Waregem,2–0,Lokeren,10194.0,Regenboogstadion,Jonathan Lardot,Match Report,,19,B1
Regular season,15.0,Sat,2018-11-10,20:00,Eupen,1–4,Sint-Truiden,3672.0,Stadion am Kehrweg,Lawrence Visser,Match Report,,19,B1
Regular season,15.0,Sat,2018-11-10,20:30,Cercle Brugge,2–0,Waasland-Bev,5983.0,Jan Breydelstadion,Lothar D'Hondt,Match Report,,19,B1
Regular season,15.0,Sun,2018-11-11,14:30,Anderlecht,2–0,Gent,20000.0,Stade Constant Vanden Stock,Erik Lambrechts,Match Report,,19,B1
Regular season,15.0,Sun,2018-11-11,18:00,Kortrijk,0–2,Standard Liège,7963.0,Guldensporenstadion,Wesley Alen,Match Report,,19,B1
Regular season,15.0,Sun,2018-11-11,20:00,Excel Mouscron,0–0,Genk,3340.0,Stade Le Canonnier,Christof Dierick,Match Report,,19,B1
,,,,,,,,,,,,,19,B1
Regular season,16.0,Fri,2018-11-23,20:30,Club Brugge,1–3,Zulte Waregem,20499.0,Jan Breydelstadion,Alexandre Boucaut,Match Report,,19,B1
Regular season,16.0,Sat,2018-11-24,18:00,Standard Liège,3–0,Eupen,15356.0,Stade Maurice Dufrasne,Jan Boterberg,Match Report,,19,B1
Regular season,16.0,Sat,2018-11-24,20:00,Waasland-Bev,1–2,Excel Mouscron,3299.0,Freethiel-Stadion,Jonathan Lardot,Match Report,,19,B1
Regular season,16.0,Sat,2018-11-24,20:00,Oostende,1–2,Kortrijk,4788.0,Versluys Arena,Lothar D'Hondt,Match Report,,19,B1
Regular season,16.0,Sat,2018-11-24,20:30,Genk,1–2,Cercle Brugge,18232.0,Luminus Arena,Nathan Verboomen,Match Report,,19,B1
Regular season,16.0,Sun,2018-11-25,14:30,Gent,0–0,Antwerp,16885.0,GHELAMCO-arena,Nicolas Laforge,Match Report,,19,B1
Regular season,16.0,Sun,2018-11-25,18:00,Sint-Truiden,4–2,Anderlecht,10023.0,Stayen,Wesley Alen,Match Report,,19,B1
Regular season,16.0,Sun,2018-11-25,20:00,Lokeren,2–4,Charleroi,2694.0,Daknamstadion,Erik Lambrechts,Match Report,,19,B1
,,,,,,,,,,,,,19,B1
