Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
7.0,Mon,2017-09-25,20:00,Vitória Setúbal,1–1,Boavista,1955.0,Estádio Dom Afonso Henriques,Nuno Almeida,Match Report,,18,P1
,,,,,,,,,,,,18,P1
8.0,Fri,2017-09-29,20:30,Chaves,1–1,Tondela,3200.0,Estádio Municipal Eng. Manuel Branco Tei...,Bruno Duarte Paixão,Match Report,,18,P1
8.0,Sat,2017-09-30,16:00,Paços,3–2,Moreirense,2539.0,Estádio da Capital do Móvel,Gonçalo Martins,Match Report,,18,P1
8.0,Sat,2017-09-30,16:00,Portimonense,2–2,Aves,2513.0,Estádio do Portimonense SC,Tiago Martins,Match Report,,18,P1
8.0,Sat,2017-09-30,18:15,Boavista,1–0,Feirense,4325.0,Estádio do Bessa Século XXI,Manuel Mota,Match Report,,18,P1
8.0,Sat,2017-09-30,20:30,Rio Ave,2–1,Vitória Setúbal,2385.0,Estádio do Rio Ave Futebol Clube,Rui Costa,Match Report,,18,P1
8.0,Sun,2017-10-01,17:15,Braga,6–0,Estoril,10651.0,Estádio Municipal de Bragança,Hélder Malheiro,Match Report,,18,P1
8.0,Sun,2017-10-01,19:15,Sporting CP,0–0,Porto,47017.0,Estádio José Alvalade,Carlos Taborda Xistra,Match Report,,18,P1
8.0,Sun,2017-10-01,21:30,Marítimo,1–1,Benfica,9537.0,Estádio dos Barreiros,Jorge de Sousa,Match Report,,18,P1
8.0,Sun,2017-10-01,21:30,Belenenses,1–0,Vitória,1523.0,Estádio do Restelo,Vasco Santos,Match Report,,18,P1
,,,,,,,,,,,,18,P1
9.0,Fri,2017-10-20,20:30,Estoril,0–3,Boavista,1278.0,Estádio António Coimbra da Mota,Tiago Martins,Match Report,,18,P1
9.0,Sat,2017-10-21,16:00,Feirense,1–0,Rio Ave,2813.0,Estádio Marcolino de Castro,Rui Oliveira,Match Report,,18,P1
9.0,Sat,2017-10-21,18:15,Vitória Setúbal,3–1,Marítimo,2253.0,Estádio Dom Afonso Henriques,Vasco Santos,Match Report,,18,P1
9.0,Sat,2017-10-21,20:30,Porto,6–1,Paços,40121.0,Estádio Do Dragão,Manuel Oliveira,Match Report,,18,P1
9.0,Sun,2017-10-22,16:00,Tondela,2–0,Belenenses,2359.0,Estádio João Cardoso,Gonçalo Martins,Match Report,,18,P1
9.0,Sun,2017-10-22,18:00,Aves,1–3,Benfica,5450.0,Estádio Clube Desportivo das Aves,Nuno Almeida,Match Report,,18,P1
9.0,Sun,2017-10-22,20:15,Sporting CP,5–1,Chaves,42285.0,Estádio José Alvalade,Rui Costa,Match Report,,18,P1
9.0,Mon,2017-10-23,19:00,Moreirense,0–1,Braga,1595.0,P.D. Comendador Joaquim de Almeida Freit...,Jorge de Sousa,Match Report,,18,P1
9.0,Mon,2017-10-23,21:00,Vitória,3–3,Portimonense,11712.0,Estádio do Bonfim,Hélder Malheiro,Match Report,,18,P1
,,,,,,,,,,,,18,P1
10.0,Fri,2017-10-27,19:00,Benfica,1–0,Feirense,47207.0,Estádio do Sport Lisboa e Benfica,Luís Godinho,Match Report,,18,P1
10.0,Fri,2017-10-27,21:00,Rio Ave,0–1,Sporting CP,7158.0,Estádio do Rio Ave Futebol Clube,Jorge de Sousa,Match Report,,18,P1
10.0,Sat,2017-10-28,16:00,Marítimo,2–0,Tondela,6735.0,Estádio dos Barreiros,Hélder Malheiro,Match Report,,18,P1
10.0,Sat,2017-10-28,18:15,Belenenses,3–0,Moreirense,2203.0,Estádio do Restelo,João Pedro Pinheiro,Match Report,,18,P1
10.0,Sat,2017-10-28,20:30,Boavista,0–3,Porto,14676.0,Estádio do Bessa Século XXI,Hugo Miguel,Match Report,,18,P1
10.0,Sun,2017-10-29,16:00,Braga,1–0,Chaves,11620.0,Estádio Municipal de Bragança,Bruno Alexandre Da Silva Esteves,Match Report,,18,P1
10.0,Sun,2017-10-29,18:00,Paços,1–0,Estoril,3267.0,Estádio da Capital do Móvel,Fábio Costa,Match Report,,18,P1
10.0,Sun,2017-10-29,20:15,Aves,1–3,Vitória,3303.0,Estádio Clube Desportivo das Aves,Luís Ferreira,Match Report,,18,P1
10.0,Mon,2017-10-30,20:00,Portimonense,5–2,Vitória Setúbal,2526.0,Estádio do Portimonense SC,António Nobre,Match Report,,18,P1
,,,,,,,,,,,,18,P1
11.0,Fri,2017-11-03,20:30,Vitória Setúbal,0–1,Aves,1052.0,Estádio Dom Afonso Henriques,Manuel Mota,Match Report,,18,P1
11.0,Sat,2017-11-04,16:00,Moreirense,1–1,Portimonense,1731.0,P.D. Comendador Joaquim de Almeida Freit...,Bruno Alexandre Da Silva Esteves,Match Report,,18,P1
11.0,Sat,2017-11-04,16:00,Tondela,3–2,Boavista,1934.0,Estádio João Cardoso,João Pedro Pinheiro,Match Report,,18,P1
11.0,Sat,2017-11-04,18:15,Estoril,0–2,Rio Ave,1128.0,Estádio António Coimbra da Mota,Vitor Ferreira Fernandes,Match Report,,18,P1
11.0,Sat,2017-11-04,20:30,Porto,2–0,Belenenses,38516.0,Estádio Do Dragão,Fábio Costa,Match Report,,18,P1
11.0,Sun,2017-11-05,16:00,Chaves,4–2,Paços,2555.0,Estádio Municipal Eng. Manuel Branco Tei...,Vasco Santos,Match Report,,18,P1
11.0,Sun,2017-11-05,16:00,Feirense,0–1,Marítimo,2944.0,Estádio Marcolino de Castro,Hugo Miguel,Match Report,,18,P1
11.0,Sun,2017-11-05,18:00,Vitória,1–3,Benfica,25702.0,Estádio do Bonfim,Artur Soares Dias,Match Report,,18,P1
11.0,Sun,2017-11-05,20:15,Sporting CP,2–2,Braga,42844.0,Estádio José Alvalade,Carlos Taborda Xistra,Match Report,,18,P1
,,,,,,,,,,,,18,P1
12.0,Fri,2017-11-24,20:30,Belenenses,0–1,Chaves,2713.0,Estádio do Restelo,João Santos Capela,Match Report,,18,P1
12.0,Sat,2017-11-25,16:00,Portimonense,2–0,Tondela,2518.0,Estádio do Portimonense SC,Manuel Mota,Match Report,,18,P1
12.0,Sat,2017-11-25,18:15,Boavista,1–0,Moreirense,4003.0,Estádio do Bessa Século XXI,Fábio Costa,Match Report,,18,P1
12.0,Sat,2017-11-25,20:30,Aves,1–1,Porto,5393.0,Estádio Clube Desportivo das Aves,Rui Costa,Match Report,,18,P1
12.0,Sun,2017-11-26,16:00,Marítimo,0–0,Estoril,6469.0,Estádio dos Barreiros,Rui Oliveira,Match Report,,18,P1
12.0,Sun,2017-11-26,18:00,Paços,1–2,Sporting CP,5534.0,Estádio da Capital do Móvel,Tiago Martins,Match Report,,18,P1
12.0,Sun,2017-11-26,20:15,Benfica,6–0,Vitória Setúbal,47632.0,Estádio do Sport Lisboa e Benfica,Luís Godinho,Match Report,,18,P1
12.0,Mon,2017-11-27,19:00,Braga,3–1,Feirense,7845.0,Estádio Municipal de Bragança,Vasco Santos,Match Report,,18,P1
12.0,Mon,2017-11-27,21:00,Rio Ave,0–1,Vitória,3587.0,Estádio do Rio Ave Futebol Clube,Manuel Oliveira,Match Report,,18,P1
,,,,,,,,,,,,18,P1
13.0,Fri,2017-12-01,18:15,Sporting CP,1–0,Belenenses,46881.0,Estádio José Alvalade,Nuno Almeida,Match Report,,18,P1
13.0,Fri,2017-12-01,20:30,Porto,0–0,Benfica,49809.0,Estádio Do Dragão,Jorge de Sousa,Match Report,,18,P1
13.0,Sat,2017-12-02,16:00,Moreirense,1–1,Marítimo,1583.0,P.D. Comendador Joaquim de Almeida Freit...,Tiago Martins,Match Report,,18,P1
13.0,Sat,2017-12-02,18:15,Tondela,1–3,Rio Ave,1276.0,Estádio João Cardoso,Bruno Alexandre Da Silva Esteves,Match Report,,18,P1
13.0,Sat,2017-12-02,20:30,Chaves,0–0,Boavista,2786.0,Estádio Municipal Eng. Manuel Branco Tei...,Manuel Mota,Match Report,,18,P1
13.0,Sun,2017-12-03,16:00,Feirense,0–1,Aves,3289.0,Estádio Marcolino de Castro,Manuel Oliveira,Match Report,,18,P1
13.0,Sun,2017-12-03,18:00,Braga,3–0,Paços,18483.0,Estádio Municipal de Bragança,Rui Oliveira,Match Report,,18,P1
13.0,Sun,2017-12-03,20:15,Vitória Setúbal,1–2,Vitória,1515.0,Estádio Dom Afonso Henriques,Vasco Santos,Match Report,,18,P1
13.0,Mon,2017-12-04,20:00,Estoril,0–0,Portimonense,942.0,Estádio António Coimbra da Mota,Bruno Duarte Paixão,Match Report,,18,P1
,,,,,,,,,,,,18,P1
14.0,Fri,2017-12-08,20:30,Rio Ave,2–1,Moreirense,2011.0,Estádio do Rio Ave Futebol Clube,Luís Ferreira,Match Report,,18,P1
14.0,Sat,2017-12-09,16:00,Aves,0–1,Tondela,1618.0,Estádio Clube Desportivo das Aves,Gonçalo Martins,Match Report,,18,P1
14.0,Sat,2017-12-09,18:15,Benfica,3–1,Estoril,49520.0,Estádio do Sport Lisboa e Benfica,João Pedro Pinheiro,Match Report,,18,P1
14.0,Sat,2017-12-09,20:30,Boavista,1–3,Sporting CP,8271.0,Estádio do Bessa Século XXI,Luís Godinho,Match Report,,18,P1
14.0,Sun,2017-12-10,16:00,Portimonense,0–1,Chaves,2511.0,Estádio do Portimonense SC,Fábio Costa,Match Report,,18,P1
14.0,Sun,2017-12-10,18:00,Belenenses,1–1,Paços,1223.0,Estádio do Restelo,Hélder Malheiro,Match Report,,18,P1
14.0,Sun,2017-12-10,20:15,Vitória Setúbal,0–5,Porto,4228.0,Estádio Dom Afonso Henriques,Tiago Martins,Match Report,,18,P1
14.0,Mon,2017-12-11,19:00,Vitória,1–0,Feirense,9519.0,Estádio do Bonfim,João Santos Capela,Match Report,,18,P1
14.0,Mon,2017-12-11,21:00,Marítimo,1–0,Braga,6327.0,Estádio dos Barreiros,Rui Costa,Match Report,,18,P1
,,,,,,,,,,,,18,P1
15.0,Fri,2017-12-15,20:30,Paços,1–2,Boavista,1660.0,Estádio da Capital do Móvel,Vasco Santos,Match Report,,18,P1
15.0,Sat,2017-12-16,18:15,Estoril,3–2,Aves,1231.0,Estádio António Coimbra da Mota,Vitor Ferreira Fernandes,Match Report,,18,P1
15.0,Sat,2017-12-16,20:30,Braga,4–0,Belenenses,7803.0,Estádio Municipal de Bragança,Hugo Miguel,Match Report,,18,P1
15.0,Sun,2017-12-17,16:00,Feirense,1–0,Vitória Setúbal,2518.0,Estádio Marcolino de Castro,João Pedro Pinheiro,Match Report,,18,P1
15.0,Sun,2017-12-17,16:00,Chaves,1–1,Rio Ave,2590.0,Estádio Municipal Eng. Manuel Branco Tei...,Bruno Duarte Paixão,Match Report,,18,P1
15.0,Sun,2017-12-17,18:00,Sporting CP,2–0,Portimonense,43797.0,Estádio José Alvalade,João Santos Capela,Match Report,,18,P1
15.0,Sun,2017-12-17,20:15,Tondela,1–5,Benfica,4987.0,Estádio João Cardoso,Tiago Martins,Match Report,,18,P1
15.0,Mon,2017-12-18,19:00,Moreirense,2–1,Vitória,3096.0,P.D. Comendador Joaquim de Almeida Freit...,Nuno Almeida,Match Report,,18,P1
15.0,Mon,2017-12-18,21:00,Porto,3–1,Marítimo,34123.0,Estádio Do Dragão,Manuel Mota,Match Report,,18,P1
,,,,,,,,,,,,18,P1
16.0,Sat,2017-12-23,18:15,Vitória,0–1,Tondela,14659.0,Estádio do Bonfim,António Nobre,Match Report,,18,P1
16.0,Wed,2018-01-03,18:15,Aves,1–2,Moreirense,1567.0,Estádio Clube Desportivo das Aves,Bruno Alexandre Da Silva Esteves,Match Report,,18,P1
16.0,Wed,2018-01-03,18:15,Marítimo,1–2,Chaves,4533.0,Estádio dos Barreiros,Manuel Oliveira,Match Report,,18,P1
16.0,Wed,2018-01-03,18:15,Boavista,1–3,Braga,4379.0,Estádio do Bessa Século XXI,Jorge de Sousa,Match Report,,18,P1
16.0,Wed,2018-01-03,20:15,Rio Ave,4–2,Paços,1781.0,Estádio do Rio Ave Futebol Clube,Luís Godinho,Match Report,,18,P1
16.0,Wed,2018-01-03,20:15,Feirense,1–2,Porto,5113.0,Estádio Marcolino de Castro,Fábio Costa,Match Report,,18,P1
16.0,Wed,2018-01-03,21:30,Benfica,1–1,Sporting CP,61996.0,Estádio do Sport Lisboa e Benfica,Hugo Miguel,Match Report,,18,P1
16.0,Thu,2018-01-04,18:15,Vitória Setúbal,2–2,Estoril,3374.0,Estádio Dom Afonso Henriques,Hélder Malheiro,Match Report,,18,P1
16.0,Thu,2018-01-04,20:15,Portimonense,0–0,Belenenses,2388.0,Estádio do Portimonense SC,Artur Soares Dias,Match Report,,18,P1
,,,,,,,,,,,,18,P1
17.0,Sat,2018-01-06,20:30,Braga,2–1,Rio Ave,8513.0,Estádio Municipal de Bragança,Vasco Santos,Match Report,,18,P1
17.0,Sun,2018-01-07,11:45,Chaves,1–1,Aves,2508.0,Estádio Municipal Eng. Manuel Branco Tei...,João Santos Capela,Match Report,,18,P1
17.0,Sun,2018-01-07,16:00,Moreirense,0–2,Benfica,4507.0,P.D. Comendador Joaquim de Almeida Freit...,Manuel Mota,Match Report,,18,P1
17.0,Sun,2018-01-07,18:00,Sporting CP,5–0,Marítimo,41724.0,Estádio José Alvalade,Carlos Taborda Xistra,Match Report,,18,P1
17.0,Sun,2018-01-07,20:15,Porto,4–2,Vitória,40309.0,Estádio Do Dragão,Artur Soares Dias,Match Report,,18,P1
17.0,Mon,2018-01-08,19:00,Paços,1–1,Portimonense,1719.0,Estádio da Capital do Móvel,Luís Ferreira,Match Report,,18,P1
17.0,Mon,2018-01-08,21:00,Estoril,0–2,Feirense,1081.0,Estádio António Coimbra da Mota,Nuno Almeida,Match Report,,18,P1
17.0,Tue,2018-01-09,19:00,Tondela,1–1,Vitória Setúbal,1087.0,Estádio João Cardoso,Rui Oliveira,Match Report,,18,P1
17.0,Tue,2018-01-09,21:00,Belenenses,1–1,Boavista,2163.0,Estádio do Restelo,Gonçalo Martins,Match Report,,18,P1
,,,,,,,,,,,,18,P1
18.0,Fri,2018-01-12,20:30,Chaves,4–3,Vitória,3436.0,Estádio Municipal Eng. Manuel Branco Tei...,Tiago Martins,Match Report,,18,P1
18.0,Sat,2018-01-13,18:15,Paços,0–0,Marítimo,1237.0,Estádio da Capital do Móvel,Manuel Mota,Match Report,,18,P1
