Round,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
Regular season,6.0,Sat,2018-09-22,19:45,VVV-Venlo,1.9,3–0,0.3,NAC Breda,6167.0,Seacon Stadion De Koel,Jochem Kamphuis,Match Report,,19,N1
Regular season,6.0,Sat,2018-09-22,20:45,Vitesse,1.7,1–1,1.2,ADO Den Haag,14023.0,GelreDome,Jeroen Manschot,Match Report,,19,N1
Regular season,6.0,Sun,2018-09-23,12:15,Feyenoord,2.6,1–0,0.5,Utrecht,45000.0,Stadion Feijenoord,Dennis Higler,Match Report,,19,N1
Regular season,6.0,Sun,2018-09-23,14:30,Emmen,1.2,0–1,1.2,Zwolle,8000.0,De Oude Meerdijk,Björn Kuipers,Match Report,,19,N1
Regular season,6.0,Sun,2018-09-23,14:30,Groningen,1.2,1–3,2.5,AZ Alkmaar,14000.0,Hitachi Capital Mobility Stadion,Pol van Boekel,Match Report,,19,N1
Regular season,6.0,Sun,2018-09-23,16:45,PSV Eindhoven,1.3,3–0,1.7,Ajax,35000.0,Philips Stadion,Danny Makkelie,Match Report,,19,N1
,,,,,,,,,,,,,,,19,N1
Regular season,7.0,Sat,2018-09-29,18:30,Heerenveen,0.9,1–1,0.8,ADO Den Haag,16550.0,Abe Lenstra Stadion,Siemen Mulder,Match Report,,19,N1
Regular season,7.0,Sat,2018-09-29,18:30,NAC Breda,0.8,0–2,2.7,PSV Eindhoven,18926.0,Rat Verlegh Stadion,Dennis Higler,Match Report,,19,N1
Regular season,7.0,Sat,2018-09-29,20:45,Excelsior,1.0,1–0,1.6,VVV-Venlo,4106.0,Van Donge & De Roo Stadion,Martin Perez,Match Report,,19,N1
Regular season,7.0,Sat,2018-09-29,20:45,Fortuna Sittard,0.8,0–2,1.7,Ajax,12004.0,Fortuna Sittard Stadion,Pol van Boekel,Match Report,,19,N1
Regular season,7.0,Sun,2018-09-30,12:15,Heracles Almelo,2.1,2–1,1.9,Emmen,10217.0,Polman Stadion,Danny Makkelie,Match Report,,19,N1
Regular season,7.0,Sun,2018-09-30,14:30,De Graafschap,3.2,2–1,0.8,Willem II,12005.0,Stadion De Vijverberg,Christiaan Bax,Match Report,,19,N1
Regular season,7.0,Sun,2018-09-30,14:30,AZ Alkmaar,2.0,2–2,0.8,Zwolle,14454.0,AFAS Stadion,Jochem Kamphuis,Match Report,,19,N1
Regular season,7.0,Sun,2018-09-30,14:30,Groningen,1.0,1–1,1.5,Utrecht,18000.0,Hitachi Capital Mobility Stadion,Bas Nijhuis,Match Report,,19,N1
Regular season,7.0,Sun,2018-09-30,16:45,Feyenoord,1.2,2–1,1.3,Vitesse,45000.0,Stadion Feijenoord,Serdar Gözübüyük,Match Report,,19,N1
,,,,,,,,,,,,,,,19,N1
Regular season,8.0,Fri,2018-10-05,20:00,Utrecht,2.6,2–1,1.1,NAC Breda,17386.0,Stadion Galgenwaard,Björn Kuipers,Match Report,,19,N1
Regular season,8.0,Sat,2018-10-06,18:30,ADO Den Haag,0.9,1–0,0.4,Groningen,11584.0,Cars Jeans Stadion,Allard Lindhout,Match Report,,19,N1
Regular season,8.0,Sat,2018-10-06,19:45,PSV Eindhoven,3.2,4–0,0.1,VVV-Venlo,33800.0,Philips Stadion,Siemen Mulder,Match Report,,19,N1
Regular season,8.0,Sat,2018-10-06,19:45,Zwolle,1.3,2–0,0.4,Excelsior,13562.0,MAC³PARK Stadion,Martin van den Kerkhof,Match Report,,19,N1
Regular season,8.0,Sat,2018-10-06,20:45,De Graafschap,0.5,0–5,2.4,Heerenveen,12102.0,Stadion De Vijverberg,Danny Makkelie,Match Report,,19,N1
Regular season,8.0,Sun,2018-10-07,12:15,Emmen,1.0,3–3,1.8,Fortuna Sittard,8300.0,De Oude Meerdijk,Joey Kooij,Match Report,,19,N1
Regular season,8.0,Sun,2018-10-07,14:30,Willem II,1.0,1–1,1.4,Feyenoord,13550.0,Koning Willem II Stadion,Kevin Blom,Match Report,,19,N1
Regular season,8.0,Sun,2018-10-07,14:30,Vitesse,3.5,4–0,0.2,Heracles Almelo,14338.0,GelreDome,Jochem Kamphuis,Match Report,,19,N1
Regular season,8.0,Sun,2018-10-07,16:45,Ajax,3.9,5–0,0.2,AZ Alkmaar,53185.0,Johan Cruyff ArenA,Dennis Higler,Match Report,,19,N1
,,,,,,,,,,,,,,,19,N1
Regular season,9.0,Sat,2018-10-20,18:30,Excelsior,0.2,2–0,2.4,Vitesse,4397.0,Van Donge & De Roo Stadion,Björn Kuipers,Match Report,,19,N1
Regular season,9.0,Sat,2018-10-20,18:30,PSV Eindhoven,3.6,6–0,0.3,Emmen,34200.0,Philips Stadion,Bas Nijhuis,Match Report,,19,N1
Regular season,9.0,Sat,2018-10-20,20:45,Utrecht,2.0,2–1,2.1,AZ Alkmaar,15500.0,Stadion Galgenwaard,Kevin Blom,Match Report,,19,N1
Regular season,9.0,Sat,2018-10-20,20:45,Heerenveen,1.1,0–4,2.1,Ajax,23315.0,Abe Lenstra Stadion,Pol van Boekel,Match Report,,19,N1
Regular season,9.0,Sun,2018-10-21,12:15,NAC Breda,1.5,2–2,0.9,Willem II,18892.0,Rat Verlegh Stadion,Serdar Gözübüyük,Match Report,,19,N1
Regular season,9.0,Sun,2018-10-21,14:30,VVV-Venlo,3.2,2–0,0.6,ADO Den Haag,7051.0,Seacon Stadion De Koel,Erwin Blank,Match Report,,19,N1
Regular season,9.0,Sun,2018-10-21,14:30,Feyenoord,1.2,3–0,0.8,Zwolle,45600.0,Stadion Feijenoord,Siemen Mulder,Match Report,,19,N1
Regular season,9.0,Sun,2018-10-21,14:30,Heracles Almelo,3.1,4–1,1.1,Groningen,11237.0,Polman Stadion,Martin van den Kerkhof,Match Report,,19,N1
Regular season,9.0,Sun,2018-10-21,16:45,Fortuna Sittard,3.3,3–1,2.1,De Graafschap,8527.0,Fortuna Sittard Stadion,Richard Martens,Match Report,,19,N1
,,,,,,,,,,,,,,,19,N1
Regular season,10.0,Fri,2018-10-26,20:00,Emmen,3.0,1–1,0.7,VVV-Venlo,8300.0,De Oude Meerdijk,Rob Dieperink,Match Report,,19,N1
Regular season,10.0,Sat,2018-10-27,18:30,ADO Den Haag,0.9,1–1,1.1,NAC Breda,12199.0,Cars Jeans Stadion,Pol van Boekel,Match Report,,19,N1
Regular season,10.0,Sat,2018-10-27,19:45,Groningen,1.5,1–2,2.5,PSV Eindhoven,18445.0,Hitachi Capital Mobility Stadion,Danny Makkelie,Match Report,,19,N1
Regular season,10.0,Sat,2018-10-27,19:45,De Graafschap,1.2,4–1,1.7,Excelsior,12108.0,Stadion De Vijverberg,Joey Kooij,Match Report,,19,N1
Regular season,10.0,Sat,2018-10-27,20:45,Zwolle,1.7,1–1,0.6,Heracles Almelo,13523.0,MAC³PARK Stadion,Edwin van de Graaf,Match Report,,19,N1
Regular season,10.0,Sun,2018-10-28,12:15,Vitesse,1.5,2–1,0.7,Fortuna Sittard,15879.0,GelreDome,Dennis Higler,Match Report,,19,N1
Regular season,10.0,Sun,2018-10-28,14:30,Ajax,2.0,3–0,0.4,Feyenoord,53270.0,Johan Cruyff ArenA,Björn Kuipers,Match Report,,19,N1
Regular season,10.0,Sun,2018-10-28,14:30,Willem II,1.4,0–1,1.6,Utrecht,12742.0,Koning Willem II Stadion,Jochem Kamphuis,Match Report,,19,N1
Regular season,10.0,Sun,2018-10-28,16:45,AZ Alkmaar,1.7,2–3,3.2,Heerenveen,16535.0,AFAS Stadion,Serdar Gözübüyük,Match Report,,19,N1
,,,,,,,,,,,,,,,19,N1
Regular season,11.0,Fri,2018-11-02,20:00,Excelsior,1.4,2–4,1.4,Groningen,4257.0,Van Donge & De Roo Stadion,Dennis Higler,Match Report,,19,N1
Regular season,11.0,Sat,2018-11-03,18:30,PSV Eindhoven,1.5,1–0,0.4,Vitesse,34100.0,Philips Stadion,Serdar Gözübüyük,Match Report,,19,N1
Regular season,11.0,Sat,2018-11-03,18:30,NAC Breda,0.7,2–1,1.0,Heracles Almelo,18385.0,Rat Verlegh Stadion,Danny Makkelie,Match Report,,19,N1
