Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
9.0,Sat,2017-10-21,18:00,Sampdoria,2.0,5–0,0.7,Crotone,18220.0,Stadio Comunale Luigi Ferraris,Giampaolo Calvarese,Match Report,,18,I1
9.0,Sat,2017-10-21,20:45,Napoli,1.2,0–0,0.4,Inter,49762.0,Stadio San Paolo,Luca Banti,Match Report,,18,I1
9.0,Sun,2017-10-22,12:30,Chievo,2.5,3–2,1.3,Hellas Verona,15000.0,Stadio Marc'Antonio Bentegodi,Rosario Abisso,Match Report,,18,I1
9.0,Sun,2017-10-22,15:00,Benevento,0.3,0–3,2.7,Fiorentina,10887.0,Stadio Ciro Vigorito,Claudio Gavillucci,Match Report,,18,I1
9.0,Sun,2017-10-22,15:00,Torino,0.5,0–1,0.6,Roma,19646.0,Stadio Olimpico di Torino,Antonio Damato,Match Report,,18,I1
9.0,Sun,2017-10-22,15:00,Atalanta,1.9,1–0,0.3,Bologna,18205.0,Stadio Atleti Azzurri d'Italia,Fabio Maresca,Match Report,,18,I1
9.0,Sun,2017-10-22,15:00,SPAL,0.8,0–1,2.3,Sassuolo,10338.0,Stadio Paolo Mazza,Michael Fabbri,Match Report,,18,I1
9.0,Sun,2017-10-22,15:00,Milan,0.8,0–0,0.4,Genoa,47219.0,Stadio Giuseppe Meazza,Piero Giacomelli,Match Report,,18,I1
9.0,Sun,2017-10-22,18:00,Udinese,1.1,2–6,1.7,Juventus,21992.0,Dacia Arena,Daniele Doveri,Match Report,,18,I1
9.0,Sun,2017-10-22,20:45,Lazio,2.3,3–0,0.6,Cagliari,20000.0,Stadio Olimpico,Luca Pairetto,Match Report,,18,I1
,,,,,,,,,,,,,,18,I1
10.0,Tue,2017-10-24,20:45,Inter,2.6,3–2,0.9,Sampdoria,54451.0,Stadio Giuseppe Meazza,Marco Guida,Match Report,,18,I1
10.0,Wed,2017-10-25,18:30,Atalanta,2.1,3–0,1.3,Hellas Verona,16768.0,Stadio Atleti Azzurri d'Italia,Livio Marinelli,Match Report,,18,I1
10.0,Wed,2017-10-25,20:45,Cagliari,2.0,2–1,1.3,Benevento,13630.0,Stadio Sant'Elia,Massimiliano Irrati,Match Report,,18,I1
10.0,Wed,2017-10-25,20:45,Chievo,0.5,1–4,1.4,Milan,7300.0,Stadio Marc'Antonio Bentegodi,Marco Di Bello,Match Report,,18,I1
10.0,Wed,2017-10-25,20:45,Juventus,1.1,4–1,0.8,SPAL,38539.0,Allianz Stadium,Fabrizio Pasqua,Match Report,,18,I1
10.0,Wed,2017-10-25,20:45,Roma,2.4,1–0,0.4,Crotone,31605.0,Stadio Olimpico,Gianluca Manganiello,Match Report,,18,I1
10.0,Wed,2017-10-25,20:45,Sassuolo,0.6,0–1,0.7,Udinese,7563.0,Stadio Città del Tricolore,Paolo Tagliavento,Match Report,,18,I1
10.0,Wed,2017-10-25,20:45,Fiorentina,1.3,3–0,0.6,Torino,22459.0,Stadio Artemio Franchi,Maurizio Mariani,Match Report,,18,I1
10.0,Wed,2017-10-25,20:45,Bologna,0.8,1–2,2.9,Lazio,20070.0,Stadio Renato Dall'Ara,Davide Massa,Match Report,,18,I1
10.0,Wed,2017-10-25,20:45,Genoa,1.2,2–3,1.1,Napoli,23367.0,Stadio Comunale Luigi Ferraris,Paolo Mazzoleni,Match Report,,18,I1
,,,,,,,,,,,,,,18,I1
11.0,Sat,2017-10-28,18:00,Milan,1.0,0–2,0.4,Juventus,78328.0,Stadio Giuseppe Meazza,Paolo Valeri,Match Report,,18,I1
11.0,Sat,2017-10-28,20:45,Roma,0.7,1–0,0.5,Bologna,35202.0,Stadio Olimpico,Michael Fabbri,Match Report,,18,I1
11.0,Sun,2017-10-29,12:30,Benevento,0.8,1–5,2.8,Lazio,12413.0,Stadio Ciro Vigorito,Piero Giacomelli,Match Report,,18,I1
11.0,Sun,2017-10-29,15:00,SPAL,0.3,1–0,1.4,Genoa,12100.0,Stadio Paolo Mazza,Daniele Orsato,Match Report,,18,I1
11.0,Sun,2017-10-29,15:00,Napoli,2.7,3–1,0.8,Sassuolo,53609.0,Stadio San Paolo,Luca Pairetto,Match Report,,18,I1
11.0,Sun,2017-10-29,15:00,Udinese,1.5,2–1,1.1,Atalanta,9038.0,Dacia Arena,Gianluca Rocchi,Match Report,,18,I1
11.0,Sun,2017-10-29,15:00,Sampdoria,1.9,4–1,1.9,Chievo,17972.0,Stadio Comunale Luigi Ferraris,Daniele Doveri,Match Report,,18,I1
11.0,Sun,2017-10-29,15:00,Crotone,0.9,2–1,0.8,Fiorentina,8906.0,Stadio Ezio Scida,Fabio Maresca,Match Report,,18,I1
11.0,Sun,2017-10-29,20:45,Torino,2.8,2–1,0.6,Cagliari,18309.0,Stadio Olimpico di Torino,Giampaolo Calvarese,Match Report,,18,I1
11.0,Mon,2017-10-30,20:45,Hellas Verona,1.1,1–2,1.2,Inter,26948.0,Stadio Marc'Antonio Bentegodi,Claudio Gavillucci,Match Report,,18,I1
,,,,,,,,,,,,,,18,I1
12.0,Sat,2017-11-04,18:00,Bologna,1.0,2–3,2.0,Crotone,33766.0,Stadio Renato Dall'Ara,Fabrizio Pasqua,Match Report,,18,I1
12.0,Sat,2017-11-04,20:45,Genoa,1.3,0–2,1.6,Sampdoria,32288.0,Stadio Comunale Luigi Ferraris,Massimiliano Irrati,Match Report,,18,I1
12.0,Sun,2017-11-05,12:30,Inter,1.9,1–1,1.0,Torino,71581.0,Stadio Giuseppe Meazza,Daniele Orsato,Match Report,,18,I1
12.0,Sun,2017-11-05,15:00,Fiorentina,1.3,2–4,1.8,Roma,25026.0,Stadio Artemio Franchi,Marco Di Bello,Match Report,,18,I1
12.0,Sun,2017-11-05,15:00,Cagliari,2.2,2–1,1.2,Hellas Verona,13213.0,Stadio Sant'Elia,Marco Guida,Match Report,,18,I1
12.0,Sun,2017-11-05,15:00,Juventus,2.9,2–1,0.1,Benevento,39125.0,Allianz Stadium,Rosario Abisso,Match Report,,18,I1
12.0,Sun,2017-11-05,15:00,Chievo,0.5,0–0,0.7,Napoli,7300.0,Stadio Marc'Antonio Bentegodi,Davide Massa,Match Report,,18,I1
12.0,Sun,2017-11-05,18:00,Atalanta,0.9,1–1,0.8,SPAL,17042.0,Stadio Atleti Azzurri d'Italia,Daniele Chiffi,Match Report,,18,I1
12.0,Sun,2017-11-05,20:45,Sassuolo,0.3,0–2,1.3,Milan,12683.0,Stadio Città del Tricolore,Antonio Damato,Match Report,,18,I1
,,,,,,,,,,,,,,18,I1
13.0,Sat,2017-11-18,18:00,Roma,1.6,2–1,1.2,Lazio,55775.0,Stadio Olimpico,Gianluca Rocchi,Match Report,,18,I1
13.0,Sat,2017-11-18,20:45,Napoli,1.5,2–1,0.6,Milan,36557.0,Stadio San Paolo,Daniele Doveri,Match Report,,18,I1
13.0,Sun,2017-11-19,12:30,Crotone,0.4,0–1,1.8,Genoa,9106.0,Stadio Ezio Scida,Paolo Tagliavento,Match Report,,18,I1
13.0,Sun,2017-11-19,15:00,Benevento,1.4,1–2,2.9,Sassuolo,10312.0,Stadio Ciro Vigorito,Paolo Mazzoleni,Match Report,,18,I1
13.0,Sun,2017-11-19,15:00,Torino,2.9,1–1,1.3,Chievo,15523.0,Stadio Olimpico di Torino,Luca Banti,Match Report,,18,I1
13.0,Sun,2017-11-19,15:00,Udinese,0.9,0–1,0.9,Cagliari,3830.0,Dacia Arena,Gianluca Manganiello,Match Report,,18,I1
13.0,Sun,2017-11-19,15:00,SPAL,1.1,1–1,1.3,Fiorentina,12124.0,Stadio Paolo Mazza,Giampaolo Calvarese,Match Report,,18,I1
13.0,Sun,2017-11-19,15:00,Sampdoria,1.6,3–2,2.0,Juventus,28786.0,Stadio Comunale Luigi Ferraris,Marco Guida,Match Report,,18,I1
13.0,Sun,2017-11-19,20:45,Inter,0.8,2–0,0.4,Atalanta,52177.0,Stadio Giuseppe Meazza,Michael Fabbri,Match Report,,18,I1
13.0,Mon,2017-11-20,20:45,Hellas Verona,1.8,2–3,1.3,Bologna,14938.0,Stadio Marc'Antonio Bentegodi,Maurizio Mariani,Match Report,,18,I1
,,,,,,,,,,,,,,18,I1
14.0,Sat,2017-11-25,15:00,Bologna,1.3,3–0,1.4,Sampdoria,20192.0,Stadio Renato Dall'Ara,Fabio Maresca,Match Report,,18,I1
14.0,Sat,2017-11-25,18:00,Sassuolo,1.5,0–2,1.7,Hellas Verona,8774.0,Stadio Città del Tricolore,Paolo Valeri,Match Report,,18,I1
14.0,Sat,2017-11-25,18:00,Chievo,1.6,2–1,0.9,SPAL,10000.0,Stadio Marc'Antonio Bentegodi,Ivan Pezzuto,Match Report,,18,I1
14.0,Sat,2017-11-25,20:45,Cagliari,1.4,1–3,1.2,Inter,15974.0,Stadio Sant'Elia,Luca Pairetto,Match Report,,18,I1
14.0,Sun,2017-11-26,15:00,Udinese,0.4,0–1,1.5,Napoli,19743.0,Dacia Arena,Marco Di Bello,Match Report,,18,I1
14.0,Sun,2017-11-26,15:00,Milan,1.2,0–0,0.9,Torino,53923.0,Stadio Giuseppe Meazza,Massimiliano Irrati,Match Report,,18,I1
14.0,Sun,2017-11-26,15:00,Genoa,1.2,1–1,1.2,Roma,20949.0,Stadio Comunale Luigi Ferraris,Piero Giacomelli,Match Report,,18,I1
14.0,Sun,2017-11-26,18:00,Lazio,1.3,1–1,1.4,Fiorentina,25000.0,Stadio Olimpico,Davide Massa,Match Report,,18,I1
14.0,Sun,2017-11-26,20:45,Juventus,2.2,3–0,0.1,Crotone,35585.0,Allianz Stadium,Claudio Gavillucci,Match Report,,18,I1
14.0,Mon,2017-11-27,20:45,Atalanta,1.1,1–0,0.6,Benevento,16687.0,Stadio Atleti Azzurri d'Italia,Fabrizio Pasqua,Match Report,,18,I1
,,,,,,,,,,,,,,18,I1
15.0,Fri,2017-12-01,18:30,Roma,4.3,3–1,1.1,SPAL,35609.0,Stadio Olimpico,Rosario Abisso,Match Report,,18,I1
15.0,Fri,2017-12-01,20:45,Napoli,0.8,0–1,1.0,Juventus,55567.0,Stadio San Paolo,Daniele Orsato,Match Report,,18,I1
