Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
12.0,Sun,2018-12-09,17:30,Vitória,2.1,3–2,1.3,Rio Ave,22299.0,Estádio Dom Afonso Henriques,Nuno Almeida,Match Report,,19,P1
12.0,Sun,2018-12-09,20:00,Sporting CP,1.4,4–1,1.6,Aves,35124.0,Estádio José Alvalade,Vitor Ferreira Fernandes,Match Report,,19,P1
12.0,Mon,2018-12-10,20:15,Feirense,1.9,1–1,1.0,Marítimo,2110.0,Estádio Marcolino de Castro,Hélder Malheiro,Match Report,,19,P1
,,,,,,,,,,,,,,19,P1
13.0,Fri,2018-12-14,19:00,Portimonense,2.4,3–1,1.2,Vitória Setúbal,2294.0,Estádio do Portimonense SC,Hélder Malheiro,Match Report,,19,P1
13.0,Fri,2018-12-14,21:15,Braga,2.8,4–0,0.4,Feirense,7061.0,Estádio Municipal de Braga,Nuno Almeida,Match Report,,19,P1
13.0,Sat,2018-12-15,15:30,Boavista,1.5,2–0,1.1,Tondela,3834.0,Estádio do Bessa Século XXI,Artur Soares Dias,Match Report,,19,P1
13.0,Sat,2018-12-15,15:30,Chaves,1.5,1–2,0.7,Moreirense,2780.0,Estádio Municipal Eng. Manuel Branco Tei...,Rui Costa,Match Report,,19,P1
13.0,Sat,2018-12-15,18:00,Aves,0.8,1–1,2.0,Vitória,3100.0,Estádio Clube Desportivo das Aves,Carlos Xistra,Match Report,,19,P1
13.0,Sat,2018-12-15,19:30,Santa Clara,1.6,1–2,2.0,Porto,8315.0,Estádio de São Miguel,Luís Godinho,Match Report,,19,P1
13.0,Sun,2018-12-16,15:00,Rio Ave,1.1,2–2,2.7,B-SAD,2288.0,Estádio do Rio Ave Futebol Clube,Manuel Mota,Match Report,,19,P1
13.0,Sun,2018-12-16,17:30,Marítimo,0.3,0–1,1.7,Benfica,9830.0,Estádio dos Barreiros,João Pinheiro,Match Report,,19,P1
13.0,Sun,2018-12-16,20:00,Sporting CP,3.2,5–2,1.2,Nacional,31408.0,Estádio José Alvalade,Fábio Costa,Match Report,,19,P1
,,,,,,,,,,,,,,19,P1
14.0,Sat,2018-12-22,15:30,Feirense,1.8,0–1,1.5,Portimonense,2510.0,Estádio Marcolino de Castro,João Pinto,Match Report,,19,P1
14.0,Sat,2018-12-22,15:30,Vitória Setúbal,0.4,0–2,1.9,Santa Clara,3079.0,Estádio do Bonfim,João Pinheiro,Match Report,,19,P1
14.0,Sat,2018-12-22,15:30,Tondela,4.0,2–1,1.9,Marítimo,1344.0,Estádio João Cardoso,Carlos Xistra,Match Report,,19,P1
14.0,Sat,2018-12-22,18:00,B-SAD,1.5,5–2,1.8,Aves,1241.0,Estádio Nacional,Nuno Almeida,Match Report,,19,P1
14.0,Sat,2018-12-22,20:30,Moreirense,2.1,2–1,0.9,Boavista,1634.0,P.D. Comendador Joaquim de Almeida Freit...,Manuel Oliveira,Match Report,,19,P1
14.0,Sun,2018-12-23,15:00,Porto,2.6,2–1,1.0,Rio Ave,48208.0,Estádio Do Dragão,Tiago Martins,Match Report,,19,P1
14.0,Sun,2018-12-23,15:00,Nacional,2.6,2–0,1.1,Chaves,2127.0,Estádio da Madeira,Vitor Ferreira Fernandes,Match Report,,19,P1
14.0,Sun,2018-12-23,17:30,Benfica,2.4,6–2,1.0,Braga,57842.0,Estádio do Sport Lisboa e Benfica,Artur Soares Dias,Match Report,,19,P1
14.0,Sun,2018-12-23,20:00,Vitória,1.5,1–0,0.9,Sporting CP,27435.0,Estádio Dom Afonso Henriques,Luís Godinho,Match Report,,19,P1
,,,,,,,,,,,,,,19,P1
15.0,Wed,2019-01-02,15:00,Santa Clara,1.3,1–2,0.9,Tondela,2105.0,Estádio de São Miguel,Cláudio Ruivo Pereira,Match Report,,19,P1
15.0,Wed,2019-01-02,18:00,Boavista,1.0,1–0,1.4,Vitória Setúbal,3688.0,Estádio do Bessa Século XXI,Tiago Martins,Match Report,,19,P1
15.0,Wed,2019-01-02,18:00,Braga,0.7,2–0,0.2,Marítimo,8714.0,Estádio Municipal de Braga,Manuel Oliveira,Match Report,,19,P1
15.0,Wed,2019-01-02,18:00,Nacional,1.4,1–0,0.3,Vitória,2229.0,Estádio da Madeira,Hélder Malheiro,Match Report,,19,P1
15.0,Wed,2019-01-02,20:15,Rio Ave,1.6,1–2,1.3,Moreirense,2089.0,Estádio do Rio Ave Futebol Clube,Fábio Costa,Match Report,,19,P1
15.0,Wed,2019-01-02,20:15,Portimonense,1.3,2–0,0.8,Benfica,5884.0,Estádio do Portimonense SC,Manuel Mota,Match Report,,19,P1
15.0,Thu,2019-01-03,16:00,Chaves,1.5,0–0,0.3,Feirense,2170.0,Estádio Municipal Eng. Manuel Branco Tei...,Artur Soares Dias,Match Report,,19,P1
15.0,Thu,2019-01-03,18:00,Sporting CP,0.6,2–1,1.2,B-SAD,30054.0,Estádio José Alvalade,João Santos Capela,Match Report,,19,P1
15.0,Thu,2019-01-03,20:15,Aves,0.6,0–1,1.4,Porto,5338.0,Estádio Clube Desportivo das Aves,João Pinheiro,Match Report,,19,P1
,,,,,,,,,,,,,,19,P1
16.0,Sat,2019-01-05,20:30,Marítimo,1.0,2–1,1.5,Portimonense,6443.0,Estádio dos Barreiros,Tiago Martins,Match Report,,19,P1
16.0,Sun,2019-01-06,15:00,Feirense,2.1,2–2,0.7,Santa Clara,2098.0,Estádio Marcolino de Castro,Carlos Xistra,Match Report,,19,P1
16.0,Sun,2019-01-06,15:00,B-SAD,1.6,1–0,1.5,Vitória,3382.0,Estádio Nacional,Artur Soares Dias,Match Report,,19,P1
16.0,Sun,2019-01-06,15:00,Vitória Setúbal,1.1,0–0,1.3,Chaves,3205.0,Estádio do Bonfim,Hugo Miguel,Match Report,,19,P1
16.0,Sun,2019-01-06,17:30,Benfica,3.2,4–2,2.1,Rio Ave,49281.0,Estádio do Sport Lisboa e Benfica,Luís Godinho,Match Report,,19,P1
16.0,Sun,2019-01-06,20:00,Braga,0.4,1–0,1.6,Boavista,9133.0,Estádio Municipal de Braga,João Santos Capela,Match Report,,19,P1
16.0,Mon,2019-01-07,17:00,Moreirense,1.5,1–0,0.5,Aves,1682.0,P.D. Comendador Joaquim de Almeida Freit...,Manuel Mota,Match Report,,19,P1
16.0,Mon,2019-01-07,19:00,Tondela,1.1,2–1,2.7,Sporting CP,4772.0,Estádio João Cardoso,Nuno Almeida,Match Report,,19,P1
16.0,Mon,2019-01-07,21:15,Porto,1.5,3–1,0.6,Nacional,33708.0,Estádio Do Dragão,Rui Costa,Match Report,,19,P1
,,,,,,,,,,,,,,19,P1
17.0,Thu,2019-01-10,20:15,Portimonense,1.2,1–1,1.1,Braga,3363.0,Estádio do Portimonense SC,Fábio Costa,Match Report,,19,P1
17.0,Fri,2019-01-11,18:00,Santa Clara,0.3,0–2,2.8,Benfica,10000.0,Estádio de São Miguel,João Santos Capela,Match Report,,19,P1
17.0,Fri,2019-01-11,19:00,Aves,1.2,1–1,0.8,Feirense,870.0,Estádio Clube Desportivo das Aves,Manuel Oliveira,Match Report,,19,P1
17.0,Fri,2019-01-11,21:15,Vitória,1.5,1–0,0.4,Moreirense,15318.0,Estádio Dom Afonso Henriques,Carlos Xistra,Match Report,,19,P1
17.0,Sat,2019-01-12,15:30,Sporting CP,0.8,0–0,0.9,Porto,45174.0,Estádio José Alvalade,Hugo Miguel,Match Report,,19,P1
17.0,Sat,2019-01-12,20:30,Boavista,1.5,0–1,0.5,Marítimo,3907.0,Estádio do Bessa Século XXI,Luís Godinho,Match Report,,19,P1
17.0,Sun,2019-01-13,15:00,Nacional,1.5,0–1,1.3,B-SAD,2235.0,Estádio da Madeira,André Narciso,Match Report,,19,P1
17.0,Sun,2019-01-13,17:30,Chaves,1.8,2–1,2.0,Tondela,2666.0,Estádio Municipal Eng. Manuel Branco Tei...,António Nobre,Match Report,,19,P1
17.0,Sun,2019-01-13,20:00,Rio Ave,0.9,1–1,1.9,Vitória Setúbal,2163.0,Estádio do Rio Ave Futebol Clube,Manuel Mota,Match Report,,19,P1
,,,,,,,,,,,,,,19,P1
18.0,Fri,2019-01-18,18:45,Nacional,0.2,0–3,2.4,Braga,2313.0,Estádio da Madeira,Hugo Miguel,Match Report,,19,P1
18.0,Fri,2019-01-18,19:00,Chaves,1.2,1–4,3.3,Porto,5950.0,Estádio Municipal Eng. Manuel Branco Tei...,Nuno Almeida,Match Report,,19,P1
18.0,Fri,2019-01-18,21:15,Vitória,0.4,0–1,1.2,Benfica,22841.0,Estádio Dom Afonso Henriques,Tiago Martins,Match Report,,19,P1
18.0,Sat,2019-01-19,15:30,B-SAD,1.7,2–2,1.3,Tondela,1521.0,Estádio Nacional,Carlos Xistra,Match Report,,19,P1
