Round,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
Regular season,6.0,Sun,2021-09-19,20:30,Estoril,1.1,0–1,1.9,Sporting CP,1987.0,Estádio António Coimbra da Mota,Tiago Martins,Match Report,,22,P1
Regular season,6.0,Mon,2021-09-20,19:00,Benfica,2.8,3–1,0.6,Boavista,23000.0,Estádio do Sport Lisboa e Benfica,Hugo Miguel,Match Report,,22,P1
Regular season,6.0,Mon,2021-09-20,21:15,Braga,2.1,3–1,0.3,Tondela,5164.0,Estádio Municipal de Braga,João Pinheiro,Match Report,,22,P1
,,,,,,,,,,,,,,,22,P1
Regular season,7.0,Fri,2021-09-24,19:00,Sporting CP,2.9,1–0,0.1,Marítimo,18741.0,Estádio José Alvalade,João Pinheiro,Match Report,,22,P1
Regular season,7.0,Fri,2021-09-24,21:15,Gil Vicente FC,1.2,1–2,1.5,Porto,5258.0,Estádio Cidade de Barcelos,Artur Soares Dias,Match Report,,22,P1
Regular season,7.0,Sat,2021-09-25,15:30,Moreirense,1.9,2–1,0.7,Arouca,863.0,P.D. Comendador Joaquim de Almeida Freit...,Fábio Oliveira Melo,Match Report,,22,P1
Regular season,7.0,Sat,2021-09-25,18:00,Vitória,1.7,1–3,2.9,Benfica,14222.0,Estádio Dom Afonso Henriques,Luís Godinho,Match Report,,22,P1
Regular season,7.0,Sat,2021-09-25,20:30,Tondela,1.0,3–2,1.4,Famalicão,439.0,Estádio João Cardoso,João Ferreira,Match Report,,22,P1
Regular season,7.0,Sun,2021-09-26,17:00,Santa Clara,1.3,1–1,0.8,Braga,1033.0,Estádio de São Miguel,Fábio Veríssimo,Match Report,,22,P1
Regular season,7.0,Sun,2021-09-26,20:30,Portimonense,0.6,0–0,1.0,Vizela,1627.0,Estádio do Portimonense SC,António Nobre,Match Report,,22,P1
Regular season,7.0,Mon,2021-09-27,19:00,Paços,1.5,2–2,1.9,B-SAD,1307.0,Estádio da Capital do Móvel,Nuno Almeida,Match Report,,22,P1
Regular season,7.0,Mon,2021-09-27,21:15,Boavista,1.6,1–1,0.8,Estoril,2094.0,Estádio do Bessa Século XXI,Miguel Nogueira,Match Report,,22,P1
,,,,,,,,,,,,,,,22,P1
Regular season,8.0,Fri,2021-10-01,19:00,Marítimo,0.3,0–0,1.1,Moreirense,1872.0,Estádio dos Barreiros,Hugo Coelho,Match Report,,22,P1
Regular season,8.0,Fri,2021-10-01,21:15,Famalicão,1.3,1–2,0.8,Vitória,3429.0,Estádio Municipal 22 de Junho,Thomas Léonard,Match Report,,22,P1
Regular season,8.0,Sat,2021-10-02,15:30,Vizela,1.4,1–1,1.6,Santa Clara,2855.0,Estádio Do Vizela,Hélder Malheiro,Match Report,,22,P1
Regular season,8.0,Sat,2021-10-02,18:00,Porto,2.4,2–1,0.7,Paços,22507.0,Estádio Do Dragão,Manuel Mota,Match Report,,22,P1
Regular season,8.0,Sat,2021-10-02,20:30,Arouca,1.2,1–2,1.7,Sporting CP,3338.0,Estádio Municipal de Arouca,Rui Costa,Match Report,,22,P1
Regular season,8.0,Sun,2021-10-03,15:30,B-SAD,0.8,0–2,1.3,Tondela,686.0,Estádio Nacional,André Narciso,Match Report,,22,P1
Regular season,8.0,Sun,2021-10-03,18:00,Estoril,1.6,2–2,2.1,Gil Vicente FC,814.0,Estádio António Coimbra da Mota,João Pinheiro,Match Report,,22,P1
Regular season,8.0,Sun,2021-10-03,18:00,Benfica,2.8,0–1,0.3,Portimonense,38845.0,Estádio do Sport Lisboa e Benfica,Fábio Veríssimo,Match Report,,22,P1
Regular season,8.0,Sun,2021-10-03,20:30,Braga,1.9,2–2,0.7,Boavista,7058.0,Estádio Municipal de Braga,Luís Godinho,Match Report,,22,P1
,,,,,,,,,,,,,,,22,P1
Regular season,9.0,Fri,2021-10-22,20:15,Vitória,2.7,2–1,1.0,Marítimo,10458.0,Estádio Dom Afonso Henriques,André Narciso,Match Report,,22,P1
Regular season,9.0,Sat,2021-10-23,14:30,Santa Clara,1.6,0–2,2.4,Famalicão,830.0,Estádio de São Miguel,Hugo Coelho,Match Report,,22,P1
Regular season,9.0,Sat,2021-10-23,18:00,Tondela,0.2,1–3,2.9,Porto,2898.0,Estádio João Cardoso,Fábio Veríssimo,Match Report,,22,P1
Regular season,9.0,Sat,2021-10-23,20:30,Sporting CP,1.5,1–0,0.4,Moreirense,35882.0,Estádio José Alvalade,Vitor Ferreira Fernandes,Match Report,,22,P1
Regular season,9.0,Sun,2021-10-24,15:30,Paços,0.2,0–0,0.9,Arouca,1786.0,Estádio da Capital do Móvel,António Nobre,Match Report,,22,P1
Regular season,9.0,Sun,2021-10-24,18:00,Vizela,1.0,0–1,1.0,Benfica,4883.0,Estádio Do Vizela,Luís Godinho,Match Report,,22,P1
Regular season,9.0,Sun,2021-10-24,20:30,Portimonense,1.5,0–2,0.7,Estoril,1340.0,Estádio do Portimonense SC,Nuno Almeida,Match Report,,22,P1
Regular season,9.0,Mon,2021-10-25,19:00,Gil Vicente FC,1.3,0–1,1.4,Braga,2762.0,Estádio Cidade de Barcelos,Tiago Martins,Match Report,,22,P1
Regular season,9.0,Mon,2021-10-25,21:15,Boavista,0.7,0–0,0.1,B-SAD,2043.0,Estádio do Bessa Século XXI,João Pinheiro,Match Report,,22,P1
,,,,,,,,,,,,,,,22,P1
Regular season,10.0,Fri,2021-10-29,20:15,Arouca,1.0,2–0,1.3,Tondela,574.0,Estádio Municipal de Arouca,Luís Godinho,Match Report,,22,P1
Regular season,10.0,Sat,2021-10-30,17:00,Porto,3.1,4–1,0.6,Boavista,31207.0,Estádio Do Dragão,Tiago Martins,Match Report,,22,P1
Regular season,10.0,Sat,2021-10-30,19:00,Estoril,0.4,1–1,1.1,Benfica,4128.0,Estádio António Coimbra da Mota,João Pinheiro,Match Report,,22,P1
Regular season,10.0,Sat,2021-10-30,21:15,Sporting CP,1.9,1–0,0.5,Vitória,21472.0,Estádio José Alvalade,Rui Costa,Match Report,,22,P1
Regular season,10.0,Sun,2021-10-31,15:30,Marítimo,1.4,1–2,1.4,Gil Vicente FC,2106.0,Estádio dos Barreiros,David Silva,Match Report,,22,P1
Regular season,10.0,Sun,2021-10-31,18:00,B-SAD,1.3,2–1,1.5,Santa Clara,932.0,Estádio Nacional,Vitor Ferreira Fernandes,Match Report,,22,P1
Regular season,10.0,Sun,2021-10-31,20:30,Famalicão,1.5,1–1,0.5,Vizela,1773.0,Estádio Municipal 22 de Junho,André Narciso,Match Report,,22,P1
Regular season,10.0,Mon,2021-11-01,19:00,Braga,2.0,3–0,0.6,Portimonense,6393.0,Estádio Municipal de Braga,Gustavo Correia,Match Report,,22,P1
Regular season,10.0,Mon,2021-11-01,21:15,Moreirense,0.5,1–1,0.5,Paços,911.0,P.D. Comendador Joaquim de Almeida Freit...,João Ferreira,Match Report,,22,P1
,,,,,,,,,,,,,,,22,P1
