Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
14.0,Sat,2019-11-02,20:00,Sint-Truiden,1–0,Oostende,5000.0,Stayen,Kevin Van Damme,Match Report,,20,B1
14.0,Sat,2019-11-02,20:00,Waasland-Bev,1–2,Zulte Waregem,3047.0,Freethiel-Stadion,Wim Smet,Match Report,,20,B1
14.0,Sat,2019-11-02,20:00,Excel Mouscron,3–1,Antwerp,3569.0,Stade Le Canonnier,Jan Boterberg,Match Report,,20,B1
14.0,Sat,2019-11-02,20:30,Club Brugge,3–0,Kortrijk,21539.0,Jan Breydelstadion,Nathan Verboomen,Match Report,,20,B1
14.0,Sun,2019-11-03,14:30,Anderlecht,2–1,Cercle Brugge,19000.0,Lotto Park,Nicolas Laforge,Match Report,,20,B1
14.0,Sun,2019-11-03,18:00,Gent,3–1,Standard Liège,19441.0,GHELAMCO-arena,Lothar D'Hondt,Match Report,,20,B1
14.0,Sun,2019-11-03,20:00,Mechelen,2–2,Charleroi,14604.0,AFAS-stadion Achter de Kazerne,Jonathan Lardot,Match Report,,20,B1
,,,,,,,,,,,,20,B1
15.0,Fri,2019-11-08,20:30,Zulte Waregem,1–2,Anderlecht,10068.0,Regenboogstadion,Lawrence Visser,Match Report,,20,B1
15.0,Sat,2019-11-09,18:00,Charleroi,1–0,Eupen,8021.0,Stade du Pays de Charleroi,Wesley Alen,Match Report,,20,B1
15.0,Sat,2019-11-09,20:00,Kortrijk,1–3,Waasland-Bev,4899.0,Guldensporenstadion,Frederik Geldhof,Match Report,,20,B1
15.0,Sat,2019-11-09,20:00,Cercle Brugge,2–1,Sint-Truiden,3500.0,Jan Breydelstadion,Jonathan Lardot,Match Report,,20,B1
15.0,Sat,2019-11-09,20:30,Oostende,2–2,Excel Mouscron,4193.0,Versluys Arena,Jasper Vergoote,Match Report,,20,B1
15.0,Sun,2019-11-10,14:30,Antwerp,2–1,Club Brugge,14000.0,Bosuilstadion,Bram Van Driessche,Match Report,,20,B1
15.0,Sun,2019-11-10,18:00,Genk,0–2,Gent,19962.0,Luminus Arena,Erik Lambrechts,Match Report,,20,B1
15.0,Sun,2019-11-10,20:00,Standard Liège,1–2,Mechelen,26987.0,Stade Maurice Dufrasne,Alexandre Boucaut,Match Report,,20,B1
,,,,,,,,,,,,20,B1
5.0,Thu,2019-11-21,20:30,Antwerp,3–2,Gent,12500.0,Bosuilstadion,Nicolas Laforge,Match Report,,20,B1
,,,,,,,,,,,,20,B1
16.0,Fri,2019-11-22,20:30,Club Brugge,2–0,Oostende,21307.0,Jan Breydelstadion,Jan Boterberg,Match Report,,20,B1
16.0,Sat,2019-11-23,18:00,Eupen,1–2,Standard Liège,7463.0,Stadion am Kehrweg,Christof Dierick,Match Report,,20,B1
16.0,Sat,2019-11-23,20:00,Mechelen,0–2,Zulte Waregem,15922.0,AFAS-stadion Achter de Kazerne,Lothar D'Hondt,Match Report,,20,B1
16.0,Sat,2019-11-23,20:00,Waasland-Bev,1–1,Cercle Brugge,6143.0,Freethiel-Stadion,Nathan Verboomen,Match Report,,20,B1
16.0,Sat,2019-11-23,20:30,Excel Mouscron,2–2,Genk,3204.0,Stade Le Canonnier,Wim Smet,Match Report,,20,B1
16.0,Sun,2019-11-24,14:30,Gent,1–1,Antwerp,19491.0,GHELAMCO-arena,Lawrence Visser,Match Report,,20,B1
16.0,Sun,2019-11-24,18:00,Anderlecht,0–0,Kortrijk,19503.0,Lotto Park,Wesley Alen,Match Report,,20,B1
16.0,Sun,2019-11-24,20:00,Sint-Truiden,1–3,Charleroi,4674.0,Stayen,Wesli De Cremer,Match Report,,20,B1
,,,,,,,,,,,,20,B1
17.0,Fri,2019-11-29,20:45,Antwerp,1–0,Mechelen,13471.0,Bosuilstadion,Jonathan Lardot,Match Report,,20,B1
17.0,Sat,2019-11-30,18:00,Club Brugge,1–0,Excel Mouscron,19827.0,Jan Breydelstadion,Wesley Alen,Match Report,,20,B1
17.0,Sat,2019-11-30,20:00,Charleroi,2–0,Waasland-Bev,7872.0,Stade du Pays de Charleroi,Frederik Geldhof,Match Report,,20,B1
